Арома-Эйр;+7 (812) 336–50–48, +7–921–333–82–98;Деловой комплекс Монетная,Санкт-Петербург, Большая Монетная, 16;www.aroma-air.com;
Лаванда;+7–921–892–82–58;Санкт-Петербург, Ветеранов проспект, 109;натуранна.рф;
Аромико, ООО;+7–911–224–50–92;Санкт-Петербург;aromiko.com;
Технология, ООО;+7–964–395–71–41, +7 (812) 607–64–04;Санкт-Петербург, Кронверкская, 3;technology-project.ru;
Арома-Петербург;+7 (812) 327–80–92, +7 (812) 327–80–82, +7 (812) 327–80–81;Санкт-Петербург, Александра Невского, 9;;
ВиВат Фортуна;+7–981–789–20–01, +7 (812) 907–74–07;ТЦ Olympic Plaza,Санкт-Петербург, Марата, 5-7;vivatfortuna.ru;
Гостиница;+7 (812) 307–33–41, +7 (812) 307–33–42;Санкт-Петербург, Авиаконструкторов проспект, 23 к1;hlebspb.ru;
Древо жизни;+7–960–235–52–52;Санкт-Петербург, Мытнинская, 19;;
Барбарис;+7–921–338–00–61, +7–911–224–14–37;Санкт-Петербург, Марата, 12;www.asiamix.ru;
Отдел формирования, хранения, учета и использования архивных документов;+7 (812) 272–21–10, +7 (812) 272–26–41;Санкт-Петербург, Фурштатская, 52;;
АромаМир;+7 (812) 242–51–54;Санкт-Петербург, Химический переулок, 12/3 лит А;aromaoils.ru;
Арома-Гарден;+7 (812) 643–29–65, +7–952–356–15–77;Санкт-Петербург, Лиговский проспект, 50 к17;www.aroma-garden.ru;
Технология;+7–911–120–59–41, +7–962–696–16–21, +7 (812) 987–57–13;Санкт-Петербург, Парковая, 6 лит Д;reklama-petersburg.ru;
Арома-Клининг, ООО;+7 (812) 334–79–64, +7 (812) 334–79–62;Санкт-Петербург, Литовская, 12;www.aroma-cleaning.ru;
A`Roma;+7–904–215–24–99;Санкт-Петербург, Московский проспект, 51;;
Арома-бар;;ТРК  Гулливер,Санкт-Петербург, Торфяная дорога, 7 лит А;;
Болгарская роза;+7–911–926–67–78, +7–911–926–58–27;ТОЦ Рубикон,Санкт-Петербург, Гражданский проспект, 119;bulrosa.ru;
Мамин Сибиряк;+7–921–564–74–18;д. Кудрово, Строителей проспект, 6;mamsiberian.ru;
Coffee Aroma;+7–964–342–85–48, +7 (812) 604–43–76;БЦ Смоленский 33,Санкт-Петербург, Смоленская, 33;coffeearoma.ru;
Аромашка;+7–963–318–28–17;Отель Азимут,Санкт-Петербург, Лермонтовский проспект, 43/1;www.aromashka.ru;
Технолог;+7 (812) 251–51–42;Санкт-Петербург, Циолковского, 10;технологспб.рф;
Арома Фуд;8–800–505–94–52;Санкт-Петербург, Маршала Говорова, 52;aromafood.ru;
Технолог;+7 (812) 244–73–56;Санкт-Петербург, Советский проспект, 33а;sktb-technolog.ru;
Технолог, ЗАО;+7 (812) 611–12–21;Санкт-Петербург, Ириновский проспект, 1;technologltd.ru;
The Aroma Shop;+7 (812) 333–44–74;ТРК Заневский каскад,Санкт-Петербург, Заневский проспект, 67 к2;www.thearomashop.ru;
Перо Павлина;+7 (812) 454–57–81, +7–921–434–30–55, +7–911–034–74–47, +7 (812) 676–23–66, 8–800–222–04–46;БЦ Квартал,Санкт-Петербург, Обуховской Обороны проспект, 86 лит М;www.peropavlina.ru;
;;;;
Al Haramain;+7–921–971–33–01, +7–921–424–56–56;Санкт-Петербург, Художников проспект, 13 к1;;
Технолог;;Санкт-Петербург, Красносельское шоссе, 50;;
Технолог;;Санкт-Петербург, Наличная, 51;;
Технолог, ЖСК;+7 (812) 643–97–45;Санкт-Петербург, Космонавтов проспект, 29 к2;;
Le Createur;+7 (812) 335–97–91, +7 (812) 337–20–99;Санкт-Петербург, Макулатурный проезд, 4;www.lecreateur.ru;
Компания Арома Северо-Запад, ООО;+7 (812) 424–78–82, 8–800–301–51–10;БЦ Звенигородский,Санкт-Петербург, Звенигородская, 9-11;aroma.group;
Арома Роял Системс;+7 (812) 777–78–92;Санкт-Петербург, Чугунная, 14;ars-aroma.ru;
;;;;
Аромалак, ОАО;+7 (812) 251–21–89;Санкт-Петербург, Курляндская, 46;www.aromalak.ru;
ВАШ ТЕХНОЛОГ, ООО;+7 (812) 365–47–17, +7–921–415–97–55;Санкт-Петербург, Бехтерева, 3 к2;www.tehnologist.ru;
Интернет-магазин косметики и эфирных масел;+7 (812) 946–19–77, +7–921–586–06–48;БЦ Нордбург,Санкт-Петербург, Банковский переулок, 3;efirnoemaslo.ru;
Гипрохим-технолог;+7 (812) 611–19–29;Санкт-Петербург, Бумажная, 17;;
;;;;
Aroma Club;;ТЦ Жемчужная Плаза,Санкт-Петербург, Петергофское шоссе, 51;;
;;;;
Boutique de L`amore;;ТРЦ Мега-Парнас,Санкт-Петербург, Энгельса проспект, Мега Парнас;;
Магазин сувениров и ароматоваров;;Санкт-Петербург, Набережная реки Фонтанки, 101б;;
Компания Арома Северо-Запад, ООО;+7 (812) 424–78–82, 8–800–301–51–10;Санкт-Петербург, Измайловский проспект, 22 к3;aroma.group;
Технолог-Т;;Санкт-Петербург, Малый проспект В.О., 82;;
ФруктАрома;+7–904–333–44–51;БЦ Квартал,Санкт-Петербург, Обуховской Обороны проспект, 86 лит М;hobbysoap.ru;
Портус;+7–921–332–40–77;БЦ Троицкий, Санкт-Петербург, Мира, 3;www.portusspb.ru;
Барбарис;+7–900–647–99–74;Санкт-Петербург, Новаторов бульвар, 29 к2;www.asiamix.ru;
Технолог;+7 (812) 251–51–42;Санкт-Петербург, Звёздная, 16Б;технологспб.рф;
АромаСтайл;+7 (812) 323–16–88;Санкт-Петербург, 9-я линия В.О., 22;www.aromastyle.org;
;;;;
Технопарк;+7 (812) 457–17–93;Санкт-Петербург, Биржевая линия, 16;technopark.ifmo.ru;
Матушка-Земля.рф;+7 (812) 986–95–96;Санкт-Петербург;mother-earth.ru;
