Молодой ударник;+7 (812) 412–67–90, +7 (812) 333–44–66, +7 (812) 412–60–30, +7 (812) 365–12–26, +7 (812) 292–00–66;БЦ Панорама,Санкт-Петербург, Минеральная, 13;www.udarnik.spb.ru;
РосТеплоСтрой, ООО;+7 (812) 309–04–95;Санкт-Петербург, Северный проезд, 8;gbi-rts.ru;
Бетонные Конструкции, ООО;+7 (812) 986–13–37, +7 (812) 648–23–08;БЦ Резон,Санкт-Петербург, Всеволода Вишневского, 12а;www.betoncon.ru;
ФАРБЕТОН, ООО;+7 (812) 309–88–20, +7–981–705–05–05;д. Новосергиевка, Новосергиевка, 1;www.farbeton.ru;
К-33, ООО;+7 (812) 400–30–33, 8–800–700–61–23;Санкт-Петербург, Ванеева, 10;k-33.net;
СтройКомплекс, ООО;+7–921–935–19–73, +7 (812) 313–69–63;Санкт-Петербург, Софийская, 80;stroykoms.ru;
Аэросталь, ООО;+7 (812) 676–35–45;БЦ Приморский,Санкт-Петербург, Липовая аллея, 9а;steelaero.ru;
СТРОЙПРОЕКТ, ООО;+7 (812) 448–54–44;Санкт-Петербург, Железнодорожная, 11;www.st-proekt.net;
ЖБИ №7, ООО;+7–965–784–14–99, +7 (812) 640–85–37, +7 (812) 643–38–36;Всеволожск, Дорога Жизни шоссе, 11в;gbi7-spb.ru;
Завод фасонных изделий, ООО;+7 (812) 327–24–46;Санкт-Петербург, Набережная Обводного канала, 118а лит Б;www.zfi.su;
Веркон;+7 (812) 313–47–12;Санкт-Петербург, Афонская, 2;www.werkon.ru;
Дом плитки;+7–911–837–04–43, +7–987–305–25–25;Санкт-Петербург, Грузовой проезд, 7;www.domplitki.net;
ЛСР.Строительство-СЗ, ООО;+7 (812) 334–23–00, +7 (812) 334–23–03;Санкт-Петербург, Верхний 3-й переулок, 5;lsrconstruction-nw.ru;
Базис, ООО;+7–921–956–45–06, +7 (812) 407–85–33;БЦ 16-я линия,Санкт-Петербург, 16-я линия В.О., 7;bazis-pk.ru;
Склада, ООО;+7–911–292–22–55, +7–911–292–20–22;Санкт-Петербург, Басков переулок, 13/15;sclada.ru;
СтройСистема, ООО;+7 (812) 331–18–24;БЦ Циолковский,Санкт-Петербург, Набережная Обводного канала, 193;stroysistema.org;
Антипарк, ООО;+7–911–900–22–55;Санкт-Петербург, Политехническая, 7о;antipark.ru;
Завод блочных комплектных трансформаторных подстанций, ООО;+7 (812) 320–20–36;БЦ Фарватер,Санкт-Петербург, Введенский канал, 7;www.zpuerus.ru;
КНАП, ООО;+7 (812) 645–83–70;Санкт-Петербург, Трамвайный проспект, 32;cpa19.ru;
ЛЕНКС, ООО;+7 (812) 332–45–05;Санкт-Петербург, Петергофское шоссе, 73Б;lenks.ru;
Монолит Комплект Строй, ООО;+7 (812) 982–26–77, +7 (812) 982–82–23;Деловой центр Кварц,Санкт-Петербург, Пискарёвский проспект, 63;mksspb.ru;
Стрельна ЖБИ, ООО;+7 (812) 986–19–58;Санкт-Петербург, Нижняя Колония, 51;strelna-gbi.ru;
Строй Поставка;+7 (812) 389–22–00;БЦ Норд-хаус,Санкт-Петербург, Коломяжский проспект, 18;www.ru-ned.ru;
Аргус;+7 (812) 642–52–77;Санкт-Петербург, Октябрьская набережная, 42;www.argus-spb.ru;
Строй Проект, ООО;+7 (812) 409–90–00;Санкт-Петербург, Выборгское шоссе, 212 ст7;стройпроект-спб.рф;
ТОП ХАУС;+7 (812) 244–60–70;Санкт-Петербург, Ленинский проспект, 104;www.tophouse.ru;
ЮниСтройТорг, ООО;+7 (812) 988–11–18, +7 (812) 955–70–60;Санкт-Петербург, Учительская, 18 к3 лит А;ust-unibeton.ru;
Евроком Сервис, ООО;+7 (812) 600–40–90;БЦ Малая Охта,Санкт-Петербург, Шаумяна проспект, 18;gkevrocom.ru;
Строй Проект, ООО;+7 (812) 409–90–00;д. Новое Девяткино, Заводская, 17а;стройпроект-спб.рф;
Сити-Строй;+7 (812) 677–09–06;Санкт-Петербург, Парковая, 4а;gk-cs.ru;
Граст;+7 (812) 962–02–36;Санкт-Петербург, Караваевская, 59;www.grast1.ru;
Стройпанель;+7 (812) 309–70–17;д. Аро, Мелиораторов, 2;www.stroypanel.ru;
Гранд;+7–981–158–18–48, +7 (812) 701–07–74;Санкт-Петербург, Рабочая, 14;grand-gr.ru;
ЖБИ-1, ООО;+7 (812) 406–83–28;Гатчина, Волкова, 2;lsrreinforcedconcrete.ru;
Промышленно-Строительные Железобетонные Изделия, ООО;8–800–301–17–45, +7 (812) 309–40–99, +7–905–209–53–33;БЦ На Смоленке,Санкт-Петербург, Набережная реки Смоленки, 33;prom-gbi.ru;
Армотэк, ООО;+7 (812) 449–76–86, +7 (812) 601–05–11, +7–952–206–01–61;Санкт-Петербург, Книпович, 15;www.armotek.ru;
Петрович;+7 (812) 334–88–88;Санкт-Петербург, Индустриальный проспект, 73;petrovich.ru;
Железобетонные Конструкции и Детали, ЗАО;+7 (812) 252–44–86;Санкт-Петербург, Ивана Черных, 16;www.78beton.ru;
СпецпромЖБИ, ООО;+7 (812) 702–52–79;ДЦ Жёлтый угол,Санкт-Петербург, Маршала Говорова, 35;spjbi.ru;
Группа ЛСР, ПАО;8–800–770–75–77;Санкт-Петербург, Фонарный переулок, 18;www.lsrgroup.ru;
СиБ-центр, ООО;+7 (812) 334–27–34, +7 (812) 464–82–58, +7 (812) 464–66–07;Санкт-Петербург, Центральный, 1 лит Б;www.sib-centr.ru;
БетоНИКА, ООО;+7 (812) 777–73–00;Санкт-Петербург, Московское шоссе, 25в;betonicaspb.ru;
МЕГАМАКС, ООО;+7 (812) 701–07–88;Санкт-Петербург, Садовая, 53;mm.spb.ru;
ТОП ХАУС;+7 (812) 244–60–70;пос. Мурино, Лесная, 3а;www.tophouse.ru;
КВАРТ;+7 (812) 683–01–21;Санкт-Петербург, Есенина, 1 к1;kvartspb.ru;
Апогей Технолоджи Рус, ООО;+7 (812) 309–87–06;БЦ Альпийский,Санкт-Петербург, Альпийский переулок, 29;www.apogee-concrete.ru;
Газобетон онлайн;+7 (812) 677–19–30, +7 (812) 970–19–30;БЦ Меридиан,Санкт-Петербург, Ленинский проспект, 160;www.matstroi.ru;
ГлавПитерСнаб, ООО;+7 (812) 970–55–99, +7 (812) 642–07–70;Санкт-Петербург, Есенина, 18 к2 лит А;glavpitersnab.ru;
Абсолют Пром, ООО;+7 (812) 401–49–88;Санкт-Петербург, Латышских Стрелков, 19;absprom.ru;
Дэлион-Гарант, ООО;+7–931–964–36–59;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14/35;;
Кедр;+7–911–137–24–64;д. Гостилицы, Парковая, 3;стройбазакедр.рф;
Стрельна ЖБИ, ООО;+7 (812) 986–19–58;ТРК PiterLand,Санкт-Петербург, Приморский проспект, 72;strelna-gbi.ru;
Аргус;+7 (812) 642–52–77;Санкт-Петербург, Таллинское шоссе, 153 к2 лит И;www.argus-spb.ru;
БетоНИКА, ООО;+7 (812) 777–73–00;Санкт-Петербург, Стартовая, 17;betonicaspb.ru;
ЖБИ-1, ООО;+7 (812) 406–83–15, +7 (812) 406–83–02, +7 (812) 406–83–13;Санкт-Петербург, Тепловозная, 32;lsrreinforcedconcrete.ru;
Завод ЖБИ-6, ЗАО;+7 (812) 520–41–04, +7 (812) 520–46–36;Санкт-Петербург, Индустриальный проспект, 43;www.gbi-6.ru;
Кирпичник;+7 (812) 934–04–04;БЦ Вант,Санкт-Петербург, Обуховской Обороны проспект, 112 к2 лит З;kirpi4nik.com;
ПрофБетон, ООО;+7 (812) 645–51–17;Санкт-Петербург, Промышленная, 19н;profbeton.net;
Магна Эс;8–800–555–08–82, +7 (812) 448–08–82;БЦ Капитал,Санкт-Петербург, Энгельса проспект, 37;www.magnares.com;
Всеволожская лесоторговая база, ООО;+7 (812) 346–53–35, +7 (812) 346–52–63, +7 (812) 346–52–66;Всеволожск, Пушкинская, 9;vsevbaza.ru;
ПИК ИНЖИНИРИНГ, ООО;+7 (812) 313–58–52, +7 (812) 426–97–77;БЦ Кварц,Санкт-Петербург, Пискарёвский проспект, 63 лит А;www.spb-pik.ru;
Опора-М;+7 (812) 309–81–49, +7–921–570–77–26, +7–921–785–79–25;Санкт-Петербург, Караваевская, 57;pkoporam.ru;
АльфаЦем;+7 (812) 441–39–90, +7 (812) 441–39–91;Санкт-Петербург, Стачек проспект, 47;www.alfacem.ru;
Атлант;+7 (812) 314–13–76, +7 (812) 595–43–64;Санкт-Петербург, Волхонское шоссе, 4;www.atlant-ooo.ru;
Тепло-трейд;+7 (812) 332–68–08;БЦ Кварц,Санкт-Петербург, Пискарёвский проспект, 63 лит А;www.teplotreyd.ru;
Квадро, ООО;+7 (812) 407–22–42;Санкт-Петербург, Волхонское шоссе, 109;quadropolimer.com;
Инфора;+7–911–224–64–78, +7–911–960–09–96, +7 (812) 946–80–62;Санкт-Петербург, Нижняя дорога, 2;www.infora-st.ru;
Кировский Домостроительный Комбинат, ООО;+7 (812) 333–14–48;Санкт-Петербург, Марата, 47;www.kdsk.spb.ru;
БалтТеплоСтрой;+7 (812) 449–73–63;БЦ Обводный 14,Санкт-Петербург, Набережная Обводного канала, 14 к32;www.baltts.ru;
Аблок-Ландшафт, ООО;+7 (812) 320–73–23;БЦ Маркусъ,Санкт-Петербург, Набережная реки Смоленки, 14;ablokspb.ru;
Доминанта СПБ, ООО;+7–963–300–38–21, +7 (812) 984–04–27, +7–960–283–45–03;д. Вартемяги, Колхозная, 43;stroysnab.biz;
ПК СКС МЕТАЛЛ, ООО;+7 (812) 333–20–24, +7 (812) 333–20–23;БЦ Гранд,Санкт-Петербург, 9 Января проспект, 3 к1;www.sks-metall.ru;
МБ-Строй;+7–921–955–99–03;БЦ 24-я линия В.О.,Санкт-Петербург, 24-я линия В.О., 3-7;mb-stroi.ru;
АРМОБЕТОН;+7 (812) 418–31–11, +7 (812) 418–22–70, +7–905–221–49–87;Санкт-Петербург, Набережная реки Фонтанки, 172;armonerud.ru;
ЦАТ-Производство, ООО;+7–911–109–71–17;Кировск, Набережная, 1/21;;
Петроснаб;+7 (812) 324–24–37, +7–911–929–22–94;ТОЦ Сампсониевский,Санкт-Петербург, Большой Сампсониевский проспект, 32 лит А;www.petrosnabspb.ru;
Гранд;+7–981–158–18–48;ДЦ Маяк,Санкт-Петербург, Московский проспект, 91;grand-gr.ru;
ПТК-ДорСтрой;+7–921–556–86–06;Санкт-Петербург, Макулатурный проезд, 7;ptk-dorstroy.ru;
ЖБИ-Пром, ООО;+7 (812) 931–40–43, +7 (812) 994–85–90;д. Малое Карлино, Пушкинское шоссе, 19Б;www.jbiprom.ru;
Монолит Спб, ООО;+7 (812) 320–38–07, +7 (812) 320–38–67;БЦ Шереметев,Санкт-Петербург, Стачек проспект, 47 лит А;gkmonolit.com;
Еврострой;+7 (812) 429–71–14;БЦ Лиговский 266,Санкт-Петербург, Лиговский проспект, 266 лит В;www.evrostroi.pro;
Меликонполар;;Всеволожск, Южное шоссе, 144;www.meliconpolar.ru;
СпецпромЖБИ, ООО;+7 (812) 702–52–79;Санкт-Петербург, Пискарёвский проспект, 150 к2;spjbi.ru;
Стройкомплектстандарт, ООО;+7 (812) 612–28–29;БЦ Охта-Хаус,Санкт-Петербург, Индустриальный проспект, 44 к2;magazinkirpicha.ru;
Конкорд;+7 (812) 984–57–70, +7 (812) 982–93–82;Санкт-Петербург, Пискарёвский проспект, 144 к7;www.betonbalt.ru;
Альфа-Строй, ООО;+7 (812) 424–15–60;Санкт-Петербург, Измайловский проспект, 9/2;www.alfastroim.ru;
Престиж трейд, ООО;+7 (812) 642–62–98, +7 (812) 677–02–47;БЦ Цитадель,Санкт-Петербург, Краснопутиловская, 69;prestig-treyd.ru;
ПТК Объединенные Ресурсы, ООО;+7 (812) 676–75–59, +7 (812) 676–36–59;БЦ Пропаганда,Санкт-Петербург, Маршала Говорова, 35 к4;ptkor.ru;
Ленинградская промышленная компания;+7 (812) 905–93–25, +7–905–205–16–16;БЦ Гражданский 22,Санкт-Петербург, Гражданский проспект, 22;akkord-lpk.ru;
ТОТАЛ ПРОГРЕСС, ООО;+7 (812) 988–35–27;Санкт-Петербург, Сенная площадь, 1;WWW.TOTALP.RU;
Кирпичник;+7 (812) 934–04–04;Санкт-Петербург, Советский проспект, 49;kirpi4nik.com;
РеалГруп, ООО;+7 (812) 441–36–17;БЦ Ладога-центр,Санкт-Петербург, Стахановцев, 14 к1;www.realgroupnw.spb.ru;
Северо-Западная Торгово-Логистическая Компания, ООО;+7–952–287–93–60;БЦ Лайнер,Санкт-Петербург, Вербная, 27 лит А;;
Арт-Бетон;+7 (812) 927–26–98, +7 (812) 676–11–43;ТОЦ Радиус,Санкт-Петербург, Волковский проспект, 32;www.art-beton.su;
СтройНормаСпб;+7 (812) 240–55–65;БЦ Мак Тауэр,Санкт-Петербург, Челиева переулок, 13;stroynormaspb.ru;
Диаметр-Нева, ООО;+7 (812) 922–02–08;БЦ Компрессор,Санкт-Петербург, Выборгская набережная, 49;mgbeton.ru;
Союз, ООО;+7 (812) 493–33–03;Санкт-Петербург, Рабочая, 14;diametr.com;
Завод КПИ, ООО;+7 (812) 956–17–71, +7 (812) 957–66–64;Санкт-Петербург, Губина, 16;proizvodstvokpi.ru;
Промбетон;+7 (812) 701–00–26, +7 (812) 612–25–54;БЦ H2O, Санкт-Петербург, Химиков, 28;zhbi-prombeton.ru;
Главстрой Инжиниринг;+7 (812) 430–14–08;Санкт-Петербург, Полевая Сабировская, 46 лит Т;www.glaven.ru;
Северо-Западная Промышленная Компания;+7–905–208–65–43, +7–905–223–33–44;Санкт-Петербург, 9 Января проспект, 21;www.szpc-spb.ru;
Евро-Стандарт, ООО;+7 (812) 951–59–03, +7–901–306–20–36;БЦ Пискарёвский,Санкт-Петербург, Пискарёвский проспект, 25;www.eurostair.ru;
Астория Энерго, ООО;+7 (812) 309–70–84;Санкт-Петербург, Ропшинское шоссе, 8Б;astoria-energy.ru;
Пролог, ООО;+7 (812) 490–56–98, +7 (812) 490–56–77, +7 (812) 490–54–01;Санкт-Петербург, Тамбовская, 11;www.stkprolog.ru;
ТэтаКом;+7 (812) 444–78–53;БЦ РОССТРО,Санкт-Петербург, Новочеркасский проспект, 58;www.tetakom.ru;
Железобетонные изделия 78, ООО;+7 (812) 988–45–67, +7–951–688–45–67;Санкт-Петербург, Московское шоссе, 201 лит З;www.gbi-78.ru;
Вавилон, ООО;+7 (812) 984–00–90, +7 (812) 501–10–15;БЦ на Рижской,Санкт-Петербург, Рижская, 5 к1 лит А;vavilon-saint-p.ru;
АБЛОК ЖБИ, ООО;+7 (812) 591–62–66, +7 (812) 643–65–95, +7 (812) 333–08–51;Санкт-Петербург, Комиссара Смирнова, 4 к2 лит В;www.a-blok.ru;
ОтКом, ООО;+7 (812) 967–61–61;Санкт-Петербург, Непокорённых проспект, 49 к2;otcom.net;
Конкорд бетон Северо-Запад, ООО;+7 (812) 984–57–70, +7 (812) 646–76–36, +7–905–222–93–82;ТЦ Загородный дом,Санкт-Петербург, Ленинский проспект, 140е;www.betonbalt.ru;
Новый Город;+7 (812) 449–12–65, +7 (812) 985–12–65;ТОЦ Стройдом,Санкт-Петербург, Комендантский проспект, 4 лит А;novgor.com;
Норма;+7 (812) 334–85–80;Санкт-Петербург, Обуховской Обороны проспект, 112 к2 лит И;gk-norma.ru;
А-СтройРесурс;+7 (812) 313–25–39, +7 (812) 325–74–55, +7 (812) 329–74–58;Санкт-Петербург, Дибуновская, 50;www.astroyresurs.ru;
ТРАСТ;+7 (812) 983–36–01;Санкт-Петербург, Лиговский проспект, 265а;траст-жби.рф;
Куб, ГК;+7 (812) 542–88–10, +7 (812) 541–86–49;Санкт-Петербург, Крапивный переулок, 3а;www.kubspb.ru;
Железобетонные конструкции;+7 (812) 320–86–84;БЦ Биржа,Санкт-Петербург, 26-я линия В.О., 15;;
БИОП;+7 (812) 989–64–46;Санкт-Петербург, Коломяжский проспект, 4ж;biopp.ru;
ГК ЭТАЛОН, ООО;+7 (812) 242–12–88, +7 (812) 337–52–49;Новосергиевка (Всеволожский район, Ленинградская обл.);ppketalon.ru;
Завод КПИ, ООО;+7 (812) 956–17–71;д. Гостилицы, Школьная, 10 лит З;proizvodstvokpi.ru;
ЗМК-ЖБИ;+7 (812) 612–44–36;БЦ Квартал,Санкт-Петербург, Ново-Рыбинская, 19/21;www.zmk-gbi.ru;
Кубиметр;+7 (812) 983–37–34, +7 (812) 929–39–27;Санкт-Петербург, Ломоносова, 1;kubimetr.ru;
Союз, ООО;+7 (812) 493–33–03;Санкт-Петербург, Макулатурный проезд, 7;diametr.com;
Блочные материалы, ООО;+7–931–239–97–17;Санкт-Петербург, Дворцовый проспект, 1 лит Щ;blockmspb.ru;
НОВЫЕ ТЕХНОЛОГИИ, ООО;8–800–555–91–25, +7 (812) 603–73–01;Санкт-Петербург, Арсенальная, 25;;
ОтКом, ООО;+7 (812) 492–10–10, +7 (812) 492–11–11, +7 (812) 492–10–11;Санкт-Петербург, Сердобольская, 65;otcom.net;
СДК;+7 (812) 900–77–30, +7 (812) 339–23–97;Санкт-Петербург, Донецкая, 2а;www.cdk-stroy.ru;
КЕЛЛЕ, ООО;+7 (812) 679–87–55;Санкт-Петербург;tdkelle.ru;
Строй Проект, ООО;+7 (812) 409–90–00;Санкт-Петербург, Верхний 2-й переулок, 4 к1 лит А;стройпроект-спб.рф;
Эверест, ООО;+7 (812) 984–84–77;ДЦ Партнёрство,Санкт-Петербург, Красноармейская 7-я, 25;es.spb.ru;
Кипенский завод ЖБИ;+7–921–860–66–10;д. Кипень, Ропшинское шоссе, 55 лит А;kz-zhbi.ru;
БетоНИКА, ООО;+7 (812) 777–73–00;Санкт-Петербург, Рощинская, 1а;betonicaspb.ru;
Гранд;+7–981–158–18–48, +7 (812) 701–07–74;Санкт-Петербург, Макулатурный проезд, 7;grand-gr.ru;
Лантан;+7 (812) 371–13–13, +7 (812) 371–12–12, +7 (812) 371–11–11;Санкт-Петербург, Московский проспект, 103 к3;lantanspb.com;
КЗ ЖБИ, ООО;+7–999–221–55–55;Санкт-Петербург, Рябчикова, 15;;
Профтрейд;+7 (812) 602–09–57, +7–921–925–13–48;Санкт-Петербург, Выборгское шоссе, 503 к3;www.proftrade.net;
Фундамент-24;+7–921–953–65–35, +7–921–630–30–65;ТК Торговый двор,Санкт-Петербург, Московское шоссе, 7 лит А;fundament-lit.ru;
ССМиК, ООО;+7 (812) 244–59–44;Санкт-Петербург, Рабочая, 9 лит Б;www.ssmik.ru;
Меликонполар;+7 (812) 441–30–35;Санкт-Петербург, Фурштатская, 33;www.meliconpolar.ru;
ГК Опора, ООО;+7–921–911–34–15;Санкт-Петербург, Ропшинское шоссе, 8;spb-opora.ru;
Сигма, ООО;+7–904–610–57–78;Санкт-Петербург, Ватутина, 24;sigmagbi.ru;
ЖБК-ПромСтрой, ООО;+7–904–609–62–29, +7–965–078–52–68;Санкт-Петербург, Обуховской Обороны проспект, 120 лит К;jbk-promstroy.ru;
Индустрия ЖБИ;+7 (812) 622–09–62, +7–965–085–57–47, +7–905–284–91–17, +7–965–085–75–56;Санкт-Петербург, Богатырский проспект, 18 к3 лит А;industrygbi.ru;
Концепт, ООО;+7–964–336–33–26;Санкт-Петербург, Ольги Берггольц, 32;www.kon-cept.ru;
Альфа Бетон ЖБИ, ООО;+7 (812) 447–95–03, +7–906–258–22–68, +7 (812) 718–59–85;Санкт-Петербург, Ленинский проспект, 140 лит И;www.alfabetonspb.ru;
СПбСкрепка;+7 (812) 412–15–97, +7 (812) 449–89–49, +7–981–816–15–21;Санкт-Петербург, Фаянсовая, 24;;
Галеон, ООО;+7 (812) 920–24–00;Санкт-Петербург, Малая Карпатская, 15 к1;spbkontinent.ru;
Аргус;+7 (812) 642–52–77;Санкт-Петербург, Невзоровой, 9 лит Б;www.argus-spb.ru;
ДЕПАРТАМЕНТ МТР, ООО;+7 (812) 577–23–85, +7 (812) 577–23–88;Санкт-Петербург, Косыгина проспект, 33 к1;dmrspb.ru;
Большак, ООО;+7 (812) 985–61–28;д. Новое Девяткино, Главная, 60/1;;
Петрович;+7 (812) 334–88–88;Санкт-Петербург, Софийская, 59 к2;petrovich.ru;
Стронг;+7 (812) 456–87–78, +7 (812) 456–87–79, +7 (812) 456–88–51;Санкт-Петербург, Вербная, 1Б;www.strongspb.ru;
Кипенский завод ЖБИ;+7–921–860–66–10;д. Кипень, Ропшинское шоссе, 4а;kz-zhbi.ru;
ЛенСтройСбыт, ООО;+7 (812) 240–50–30, +7 (812) 240–50–32;Санкт-Петербург, Российский проспект, 14;tdlss.ru;
Согласие;+7 (812) 309–05–40, +7–901–320–99–90;пос. Тельмана, Тельмана, 11 к1;soglasie-sk.ru;
Геокомстрой, ООО;+7 (812) 952–57–09;Санкт-Петербург, Санкт-Петербургский проспект, 60;www.spbgks.ru;
ПК Промстройконструкции, ООО;+7 (812) 337–11–97, +7–981–766–69–64;пгт Имени Свердлова, 1-й микрорайон, 50;pkpsk.ru;
Бетонекс-Санкт-Петербург;+7 (812) 461–50–64;Санкт-Петербург, Финляндская, 36;www.betoneks.ru;
ЖБИ, ООО;+7–921–954–09–41;Санкт-Петербург, Рябчикова, 15;;
Тротуар плюс;+7 (812) 985–56–41;Санкт-Петербург, 1 Мая, 2 лит Б;trotuarplus.ru;
Петербургский Бетон, ООО;+7 (812) 926–92–66;БЦ Формула,Санкт-Петербург, Софийская, 17;tehnostroyproject.ru;
СТАЛЬБЕТОН, ООО;+7 (812) 660–55–05;Санкт-Петербург, Энгельса проспект, 32;stalbeton.pro;
ВЕЛЕС;+7 (812) 495–96–18, +7 (812) 495–96–15;БЦ Портал,Санкт-Петербург, Лифляндская, 6;www.veles.com.ru;
Компания КомСтрой СПб, ООО;+7 (812) 313–57–02, +7 (812) 313–57–03, +7 (812) 299–52–23;Деловой центр Кварц,Санкт-Петербург, Пискарёвский проспект, 63;www.comstroy-spb.ru;
Алза, ООО;+7 (812) 677–18–17, +7–952–367–77–27;Санкт-Петербург, Лиговский проспект, 56 лит Г;www.gk-alza.ru;
ПК КОНСТРУКТИВ, ООО;+7 (812) 320–86–87, +7 (812) 325–73–72;Санкт-Петербург, Приморское шоссе, 140;pkgbk.ru;
Бетонэлемент СПб, ООО;+7 (812) 337–54–53, +7 (812) 335–97–70;БЦ Квартал,Санкт-Петербург, Ново-Рыбинская, 19-21;www.betonelement.spb.ru;
Вира, ООО;+7 (812) 321–95–87, +7 (812) 321–47–16;Санкт-Петербург, 13-я линия В.О., 64;tkvira.ru;
Капитолина оптовая компания, ООО;+7 (812) 554–16–26, +7 (812) 554–16–18;Санкт-Петербург, Новоорловская, 11 к2;capitolina.ru;
ТрансСнаб, ООО;+7–962–685–26–86;Санкт-Петербург, Ульяновская, 19;заводтрансснаб.рф;
ТОП ХАУС;+7 (812) 244–60–70;Санкт-Петербург, Коломяжский проспект, 15 к1;www.tophouse.ru;
Балтийский Бетон;+7 (812) 320–93–45, +7 (812) 458–71–41;д. Старая, Колхозная, 1;www.baltbeton.ru;
Фортуна плюс, ООО;+7 (812) 642–62–98, +7 (812) 677–02–47;БЦ Цитадель,Санкт-Петербург, Краснопутиловская, 69;forplus.ru;
Конкорд;+7 (812) 984–57–70, +7 (812) 982–93–82;Санкт-Петербург, На Турухтанные Острова дорога, 20 к4;www.betonbalt.ru;
Империя-ЖБИ, ООО;+7–905–210–80–20, +7–905–210–40–80, +7 (812) 947–84–28, +7 (812) 627–13–09;Санкт-Петербург, Салова, 27;imperia-gbi.ru;
СТК-ПромБетон;+7 (812) 648–13–80, +7 (812) 642–47–09;ТЦ Елизаровский,Санкт-Петербург, Елизарова проспект, 38;www.stroyprombeton.ru;
Конкорд;+7 (812) 984–57–70, +7 (812) 982–93–82, +7 (812) 646–76–36;Санкт-Петербург, Ленинский проспект, 140 лит И;www.betonbalt.ru;
Конкорд бетон Северо-Запад, ООО;+7 (812) 984–57–70, +7 (812) 646–76–36, +7–905–222–93–82;Санкт-Петербург, Пискарёвский проспект, 144;www.betonbalt.ru;
