—“ќ”Ќ –ќ”«;+7Ц916Ц707Ц27Ц49;ћосква, Ќагатинский 1-й проезд,†2 ст4Ѕ;stonerose.ru;stonerosemoscow@gmail.com
√ородска€ база цветов;+7Ц967Ц018Ц62Ц79, +7Ц915Ц477Ц14Ц00;ћытищи,  омарова,†2 к3;gbcvet.ru;
Best Bouquet;+7Ц936Ц111Ц37Ц77;ћытищи, ЋЄтна€,†21/2;;
Ѕукет;+7 (495) 518Ц04Ц77;ћытищи, ќлимпийский проспект,†8;www.sharm-byket.ru;
Ёкзотик;+7Ц980Ц659Ц08Ц50;ћытищи, Ѕелобородова,†3;;
‘иалочка;;“–   расный  ит,ћытищи, Ўараповский проезд,†вл2;;
÷веточный стиль;+7 (495) 514Ц46Ц47, +7Ц926Ц902Ц69Ц68, +7 (498) 602Ц96Ц51;ћытищи, Ѕлаговещенска€,†9;www.flowers-style.ru;
ћагазин цветов;+7Ц926Ц460Ц39Ц49;ћытищи, “рудова€,†22;;
ћагазин цветов;;ћытищи, ¬еры ¬олошиной,†9а;;
–озмарин;+7Ц916Ц414Ц50Ц77;ћытищи, –ождественска€,†5;;
Ћавка ÷веточника;+7 (495) 764Ц25Ц35;ћытищи, “роицка€,†9;www.lavkacvetochnika.ru;
ћагазин цветов и подарков;;ћытищи,  олпакова,†26;;
–ос÷вет;+7 (495) 120Ц81Ц27;ћытищи, Ќовомытищинский проспект,†вл60;roscvet-shop.ru;
Ћавка ÷веточника;+7 (495) 760Ц25Ц15;ћытищи, Ўараповска€,†4 к1 ст1;www.lavkacvetochnika.ru;
ћастер букет;;ћытищи, —елезнЄва,†20в ст1;;
Florite;+7Ц903Ц726Ц20Ц29;“вой ƒом,ћытищи, ќсташковское шоссе,†вл2 ст1;www.flowersme.ru;
To Be Rose;+7 (495) 726Ц53Ц54;ћытищи, ¬еры ¬олошиной,†27;;
–омашка Flowers;;“÷ Ћеонидовка,ћытищи, ўЄлковский 2-й проезд,†3;;
 иоск по продаже цветов;;д.† оргашино, ћытищинска€,†1 ст2 киоск;;
Ќатали;+7 (495) 795Ц28Ц16;Ѕ÷ ¬олковский,ћытищи, ¬олковское шоссе,†5 ст1;;
÷веточна€ алле€;+7Ц926Ц708Ц22Ц96;ћытищи, »нститутска€ 2-€,†26;;
ћагазин цветов;;ћытищи, ёбилейна€,†30;;
 олибри;+7 (495) 755Ц49Ц29, +7Ц903Ц755Ц49Ц29;ћытищи, ёбилейна€,†24а;flokolibri.ru;
ћагазин цветов;;ћытищи, ќлимпийский проспект,†6 к2а;;
÷веточна€ база є1;;ћытищи, Ѕлаговещенска€,†4Ѕ;;
ћагазин цветов;+7Ц926Ц280Ц20Ц16, +7Ц925Ц311Ц37Ц18;ћытищи, ¬еры ¬олошиной,†11;buketlavka.com;
јльби флора;+7 (495) 780Ц70Ц64;ћытищи, ’лебозаводска€,†6;cvety-flora.ru;
÷ветыш;+7 (495) 504Ц20Ц42, +7 (495) 968Ц51Ц65;ћытищи, “рудова€,†35;www.rozbl.ru;info@rozbl.ru
ћагазин цветов;;“–÷ XL,ћытищи,  оммунистическа€,†10 к1;;
ћагазин цветов;+7Ц964Ц558Ц35Ц45;ћытищи, —иликатна€,†36 ст2а;;
ћагазин цветов и подарочной упаковки;;“–÷ ѕерловский, ћытищи, —елезнЄва,†33;;
ћагазин цветов;;ћытищи, —укромка,†5;;
ћагазин цветов;+7Ц925Ц307Ц46Ц70;ћытищи, —емашко,†23;;
÷веточный магазин;+7Ц963Ц636Ц31Ц51;ћытищи, —оветска€,†1а;pirocvet.ru;
—јЅ, ќќќ;;ћытищи, Ўараповский проезд,†9;;
ћагазин цветов;;ћытищи, —укромка,†28;;
ћагазин по продаже цветов;;ћытищи, ќлимпийский проспект,†17а;;
ћагазин цветов;+7Ц926Ц585Ц08Ц09;ћытищи, јкадемика  аргина,†38а;;
ћагазин цветов;+7Ц926Ц585Ц08Ц09;ћытищи, ћира,†8а;;
ћир цветов;;ћытищи,  оммунистическа€,†1а;;
ћагазин цветов;;ћытищи, Ѕелобородова,†15;;
Sanata Flowers;+7Ц917Ц511Ц00Ц10, +7Ц968Ц358Ц02Ц58;ћытищи, —укромка,†28;sanata-flowers.ru;
ћагазин цветов;;ћытищи, ўербакова,†4;;
Sanata Flowers;+7Ц917Ц511Ц00Ц10, +7Ц968Ц358Ц02Ц58;ћытищи, ЋЄтна€,†27а;sanata-flowers.ru;
ћагазин цветов;+7 (495) 961Ц76Ц55;ћытищи, Ќовомытищинский проспект,†31а;;
ћагазин цветов;;ћытищи,  олпакова,†40;;
“рейд-Ћ“ƒ, ќќќ;;ћытищи, Ќовомытищинский проспект,†78 киоск;;
ћагазин цветов;;“ƒ ќлимп,ћытищи, ќлимпийский проспект,†21;;
ћагазин цветов;;“÷ ѕаровоз, ћытищи,  ирпична€,†1;;
ћагазин цветов;;ћытищи, ¬окзальна€ площадь,†вл2а;;
ћагазин цветов;;“ƒ ћай€,ћытищи, Ўараповский проезд,†3а;;
ћагазин цветов;;ћытищи, Ќовомытищинский проспект,†16Ѕ;;
ћагазин цветов;;ћытищи, ‘абрична€,†вл6а;;
ѕарижанка;+7Ц925Ц311Ц36Ц95, +7Ц926Ц568Ц31Ц82, +7Ц925Ц311Ц37Ц18;ћытищи, ћира,†4;buketlavka.com;
ћагазин цветов;;ћытищи, јкадемика  аргина,†38 к1;;
Butterfly;+7Ц916Ц772Ц02Ц42;ћытищи, –ождественска€,†5;cvety-mytischi.ru;
ћагазин цветов;;ћытищи, ёбилейна€,†9а;;
Ќаше лето;+7Ц926Ц725Ц52Ц21;“–÷ »юнь, ћытищи, ћира,†51;;
ћагазин цветов;+7Ц905Ц715Ц32Ц28;ћытищи, Ќовомытищинский проспект,†80Ѕ;;
÷веточный магазин;+7Ц965Ц229Ц35Ц02;ћытищи, ћира,†6;freshflowers77.ru;
ћагазин цветов;;“ќ÷ јльта,ћытищи, ќлимпийский проспект,†ст10;;
ћагазин цветов;;ћытищи, ЋЄтна€,†40;;
ћосцветторг;8Ц800Ц550Ц43Ц21, +7 (495) 514Ц25Ц39;ћытищи,  оммунистическа€,†21а;www.moscvettorg.ru;info@moscvett.org
Ѕукет и я;;ћытищи, ¬етеранов бульвар,†ст2;;
“рейд-Ћ“ƒ, ќќќ;;ћытищи, —азонова,†5 ст2 киоск;;
÷веточный магазин;;ћытищи, —елезнЄва,†20д;;
¬иктори€;+7Ц905Ц525Ц51Ц67, +7Ц925Ц868Ц62Ц56;ћытищи, —трелкова€,†21;vikafiesta.ru;
ћагазин цветов и подарочной упаковки;;“–÷ XL, ћытищи,  оммунистическа€,†1;;
ћагазин цветов;;ћытищи, “рудова€,†25 киоск;;
ћагазин цветов;;ћытищи, »нститутска€ 2-€,†24;;
ћагазин цветов;;ћытищи, Ќовомытищинский проспект,†49 к1;;
÷веты мира;+7 (495) 668Ц08Ц31;ћытищи, —емашко,†35;cvm24.ru;
ѕ–ќ—“ќ÷¬≈“џ;+7 (495) 788Ц70Ц08, +7 (495) 909Ц81Ц60, +7 (495) 909Ц99Ц38;“ƒ ћ-ёни,ћытищи, Ўараповский проезд,†вл11;www.p100c.ru;
ћосцветторг;8Ц800Ц550Ц43Ц21, +7 (495) 642Ц53Ц71;ћосква, Ќовый јрбат,†22;www.moscvettorg.ru;info@moscvett.org
7 ÷ветов;+7 (495) 682Ц64Ц94, +7Ц926Ц312Ц11Ц11;ћосква, ћира проспект,†112;;
ћосцветторг;8Ц800Ц550Ц43Ц21, +7 (495) 664Ц34Ц41;ћосква, ƒолгоруковска€,†40;www.moscvettorg.ru;info@moscvett.org
Ќова€ √олланди€;8Ц800Ц333Ц60Ц08, +7 (495) 666Ц44Ц48, +7 (499) 213Ц31Ц11;ћосква, ¬ерхние ѕол€,†48а ст3;flowers.novayagollandiya.ru;
ќѕ“÷¬≈“, ќќќ;8Ц800Ц500Ц06Ц26, +7 (495) 921Ц71Ц82;ћосква, ћитинска€,†36;optom-cveti.ru;
Roza4U;+7Ц968Ц543Ц98Ц99, +7 (499) 404Ц01Ц26;“÷ Ёлектроника на ѕресне,ћосква, «венигородское шоссе,†4;www.roza4u.ru;
ћосковский, «јќ;+7 (495) 841Ц86Ц20, +7 (495) 549Ц69Ц00;ћосковский, 1-й микрорайон,†52;www.mosagro.ru;
÷веточный остров;8Ц800Ц100Ц74Ц07, +7Ц910Ц474Ц50Ц50, +7Ц985Ц872Ц89Ц55;ћосква, Ћенинский проспект,†39/1;cvetostrov.ru;
—адовод-Ѕалашиха;+7Ц985Ц292Ц97Ц76;Ѕалашиха, ўЄлковское шоссе,†210а;sadovod-balashiha.ru;
FunFun;+7 (495) 720Ц06Ц11, +7Ц903Ц720Ц06Ц11;ћосква, Ѕольша€ Ќоводмитровска€,†36 ст9;www.funfun.me;
Ѕаза ÷ветов;+7Ц916Ц219Ц22Ц85, +7Ц929Ц652Ц08Ц65;»стра, 9 √вардейской ƒивизии,†51;www.24flo.ru;
ћиллион цветов;+7 (495) 968Ц96Ц23;Ѕ÷ ѕарус,ћосква, “верска€-ямска€ 1-€,†23 ст1;million-cvetov.ru;
Herbarium;+7 (495) 641Ц31Ц07, +7 (495) 771Ц61Ц98;“  √алере€ јэропорт,ћосква, Ћенинградский проспект,†62а;www.herbarium.ru;
ћаргаритка-флор;+7Ц916Ц531Ц89Ц23, +7Ц916Ц093Ц30Ц22;Ѕѕ –ум€нцево,ћосква,  иевское шоссе 22 км,†вл4 ст2а;www.margaritka-flor.ru;
√арден —ити, ќќќ;+7 (495) 633Ц07Ц96;ћосква, Ўаболовка,†29 к2;flowersrf.ru;
÷веточна€ база є1;;д.†√ольево, ÷ентральна€,†65а;;
»нтернет-магазин доставки цветов;+7 (495) 236Ц72Ц47, 8Ц800Ц775Ц27Ц48;ћосква, Ћенинский проспект,†64/2;www.dostavka-tsvetov.com;
јвгустин;+7Ц985Ц643Ц38Ц33, 8Ц800Ц250Ц70Ц79, +7 (495) 643Ц38Ц33;Ѕалашиха, ÷ќ¬Ѕ микрорайон,†19;augustin-salon.ru;
Lechuza;+7 (495) 125Ц28Ц33;Ѕѕ —танколит,ћосква, —кладочна€,†1 ст1;www.lechuza.ru;
ƒќћ –ќ«;+7 (495) 521Ц03Ц51, +7Ц926Ц330Ц98Ц99, +7Ц915Ц240Ц98Ц99, +7Ц919Ц995Ц50Ц75;Ѕалашиха, ¬ладимирска€,†61;дом-роз.рф;
‘лоренци€;+7 (495) 118Ц01Ц15, +7Ц964Ц765Ц59Ц55, +7 (495) 231Ц20Ц23;ћосква, «юзинска€,†3;floflowers.ru;
ћир ќрхидей;+7Ц916Ц675Ц87Ц41;ћосква, Ћенинский проспект,†30;mir-orhidei.ru;
—трана –оз;+7Ц926Ц210Ц73Ц26;ћосква, ярославское шоссе,†19 ст3;russrose.ru;
Floxy;+7Ц926Ц916Ц37Ц09;ћосква,  олобовский 1-й переулок,†25 ст1;floxyflowers.ru;
»зобилие;;Ѕ÷ Ўаболовка, 34,ћосква, Ўаболовка,†34 ст3;;
Ћето Ѕукето;+7Ц985Ц304Ц94Ц90, +7Ц925Ц145Ц33Ц89;ћосква, Ќиколо€мский переулок,†2;letobuketo.ru;
÷веты в квадрате;+7 (495) 729Ц64Ц20;аэропорт Ўереметьево,’имки, Ўереметьево аэропорт,†терминал E;;
Ћеди энд флер, ќќќ;;ƒомодедово, √агарина,†45;;
÷веты на „а€нова;+7 (495) 960Ц04Ц43;ћосква, „а€нова,†18;;
‘лорист.ру;8Ц800Ц200Ц40Ц70;Ёлектросталь, ћира,†17;www.florist.ru;
—еть магазинов цветов и букетов;+7Ц916Ц553Ц53Ц88, +7Ц910Ц432Ц00Ц69;÷ƒ Ћенинградский,ћосква, Ћенинградское шоссе,†25;;
Ћедика;+7 (495) 960Ц41Ц23, +7Ц903Ц797Ц14Ц00;ћосква, Ћенинский проспект,†73/8;www.ledika.ru;
÷ветовик;+7 (495) 777Ц10Ц28, +7 (495) 777Ц10Ц28;ћосква, ≈нисейска€,†17 к1;moscow.cvetovik.com;info@cvetovik.com
јлЄнка;+7Ц925Ц300Ц01Ц41, +7Ц925Ц300Ц05Ц45, +7Ц910Ц447Ц42Ц43;“÷ √ефест, ∆уковский, √агарина,†36;;
ѕервый цветочный;+7 (495) 997Ц14Ц04;∆уковский, √удкова,†4;;
ƒжаз;+7Ц916Ц682Ц39Ц98, +7Ц965Ц403Ц17Ц73;“÷  онфитюр,ƒолгопрудный, ЋихачЄвский проспект,†64;;
the Secret flowers;+7Ц964Ц704Ц27Ц04; расногорск, ¬олоколамское шоссе 20 км,†вл1;secret-flowers.ru;
÷веток“орг;+7Ц916Ц776Ц56Ц36;ћосква, ќсенний бульвар,†10 к1;www.cvetoktorg.ru;
Lali ta;+7Ц919Ц761Ц70Ц70, +7Ц963Ц767Ц99Ц88;ћосква, ’орошЄвское шоссе,†32;;
Fashion Flowers;+7Ц905Ц770Ц57Ц24;“÷ ёнимолл,ћосква, Ќоворижское шоссе 23 км,†ст1;;
÷¬≈“ћј– ≈“;+7Ц965Ц329Ц39Ц79;ћосква, —еверный бульвар,†3 к2;www.cvetmarket.ru;
Ѕела€ камели€;+7 (495) 973Ц60Ц22;Ћюберцы,  ирова,†4;;
«ел÷ветќпт;+7 (499) 731Ц00Ц75;«еленоград, Ѕолдов ручей,†1;zelcvetopt.ru;
ћиллион свежих роз;+7 (495) 735Ц34Ц08, +7 (495) 440Ц36Ц04;ћосква, ћожайское шоссе,†23;доставкацветов.net;
“ерритори€ цветов;+7 (495) 134Ц42Ц79, +7Ц963Ц722Ц04Ц65;ћ‘  ¬одный,ћосква, √оловинское шоссе,†5;www.bazaflor.ru;
÷ветќ ;+7 (495) 782Ц78Ц70;ћосква, ”дальцова,†38;;
Myflowerstore;+7Ц903Ц511Ц36Ц08;ћосква, ¬одопроводный переулок,†2 ст1;myflowerstore.ru;
ј“≈ -ћ, «јќ;+7Ц903Ц144Ц48Ц88, +7 (499) 705Ц17Ц70, +7 (495) 743Ц31Ц00;“¬÷ ћебель –оссии,ћосква,  ронштадтский бульвар,†14;www.flowers77.ru;
јквилеги€;;“÷  рюковска€ эстакада,«еленоград,  рюковска€ площадь,†1а;;
—частье легко!;+7Ц925Ц276Ц51Ц89;“÷ ћетромаркет,ћосква,  рутицкий 3-й переулок,†18;;
Ѕукеты без роз;+7Ц926Ц361Ц89Ц47;ћосква, Ћуков переулок,†8;bezroz.ru;
Zefir;+7Ц999Ц768Ц70Ц25, +7Ц905Ц677Ц70Ц25;ћосква, √ил€ровского,†36 ст1;www.lavka-zefir.ru;
Lavanda Shop;+7Ц925Ц756Ц41Ц31;Ѕѕ —танколит,ћосква, —кладочна€,†1 к1;lavandashop.ru;
÷ветоша;+7Ц916Ц143Ц26Ц69;ѕодольск, —оветска€,†34;cvetosha.ru;
ѕика флор, ќќќ;+7 (495) 979Ц63Ц49;ћосква, Ёлектролитный проезд,†10 ст5;www.picaflor.ru;
ƒоставка÷ветов.рф;8Ц800Ц775Ц14Ц97, +7 (495) 988Ц92Ц97;ћосква, ƒобролюбова,†18;доставкацветов.рф;
»зобилие;+7Ц926Ц262Ц82Ц82;ћосква,  расного ћа€ка,†2;;
—ити флора;+7Ц909Ц921Ц07Ц49;јфимолл —ити,ћосква, ѕресненска€ набережна€,†2;megaflore.ru;
јмарант;+7Ц926Ц566Ц83Ц47;—имонов ѕлаза,ћосква, Ћенинска€ —лобода,†26 ст5;;
÷веточна€ Ѕаза є1;+7 (499) 254Ц49Ц20;ћосква, Ѕольшой  ондратьевский переулок,†14 ст1;www.cvetbaza.ru;
AMF;8Ц800Ц200Ц70Ц90, +7 (495) 974Ц70Ц90, +7 (495) 960Ц29Ц69;ћосква, “араса Ўевченко набережна€,†3;www.amf.ru;
Jolly Bunch;+7 (495) 989Ц18Ц35, +7Ц903Ц558Ц29Ц53;ћосква, “имура ‘рунзе,†22;www.jollybunch.ru;
ќптово-розничный цветочный склад-магазин;+7 (495) 651Ц35Ц94, +7 (495) 651Ц35Ц93;ћосква, ќзЄрна€,†4/9;opt-flowers.ru;
я люблю цветы;+7Ц915Ц312Ц00Ц02;√алере€ Ќеглинна€,ћосква, Ќеглинна€,†20;;
ћиллион свежих роз;+7 (495) 735Ц34Ц08;ћосква, “олбухина,†5 к1;доставкацветов.net;
√ородской Ѕукет;+7 (495) 917Ц74Ц45;ћосква, ѕокровка,†34;www.openok-24.ru;
