Студия флористического дизайна Екатерины Ниловой;+7–921–744–34–37, +7 (812) 907–08–71;Санкт-Петербург, Большая Посадская, 12;www.floristudio.ru;
Цветочный блюз;+7–981–745–87–10;Санкт-Петербург, Кирочная, 5;;
Цветомания;+7 (812) 244–00–44;Санкт-Петербург, Медиков проспект, 10 к1;tsvetomania.ru;
AristocratFlower;+7–911–900–10–02, +7 (812) 600–17–06;БЦ Легион,Санкт-Петербург, Есенина, 19 к2;www.aristocratflower.ru;
Peterhof-flowers;+7 (812) 450–74–76;Санкт-Петербург, Санкт-Петербургское шоссе, 88;www.peterhof-flowers.com;
ЦВЕТОПТТОРГ;+7 (812) 600–06–20, +7 (812) 601–01–01, 8–800–550–06–20, +7 (812) 676–85–41;Санкт-Петербург, Звёздная, 11 к1;www.cvetopttorg.spb.ru;
Lucky Roses;+7 (812) 409–97–75;Санкт-Петербург, Васи Алексеева, 14;luckyroses.ru;
Оранж;+7–921–948–35–04;Санкт-Петербург, Московский проспект, 188г;www.orangespb.ru;
Сеть оптово-розничных магазинов цветов;8–800–775–75–72, +7 (812) 930–67–79, +7–921–930–67–79;Санкт-Петербург, Руднева, 22 к2;cvetokod.ru;
Агава;+7 (812) 234–24–81, +7 (812) 931–11–97;Санкт-Петербург, Каменноостровский проспект, 55;www.agavaspb.ru;floragava@yandex.ru
Флорист.ру;8–800–200–40–70;Санкт-Петербург, Ворошилова, 6 лит М;florist.ru;
Ливинг Хоум;+7 (812) 324–56–32, +7–962–723–30–48, +7–950–024–38–26;ТОЦ Сампсониевский,Санкт-Петербург, Большой Сампсониевский проспект, 32;www.livinghome.ru;
ЛенЦветТорг;;Санкт-Петербург, Пилотов, 34 к1;lencvet.ru;
Камелия;+7 (812) 325–95–96, +7 (812) 325–95–94;Санкт-Петербург, Пулковское шоссе, 106;www.camellia-flowers.ru;
Ирга, ООО;+7 (812) 315–77–81, +7 (812) 571–25–85;Санкт-Петербург, Набережная канала Грибоедова, 71;www.irga-spb.ru;
Букет-СПБ;+7 (812) 648–88–61, 8–800–555–91–94, +7 (812) 309–38–84, +7–909–577–88–00;Санкт-Петербург, Марата, 35;www.buket-piter.ru;
Цветовик;+7 (812) 777–92–04;пос. Мурино, Менделеева бульвар, 10;cvetovik.com;info@cvetovik.com
Цветочный магазин;+7–981–835–11–65, +7–951–658–80–22;Санкт-Петербург, Серебристый бульвар, 17 к1;;
ГорЦветТорг;+7–911–099–42–76;Санкт-Петербург, Маршала Говорова, 25;;9504288@mail.ru
Garden и Я;+7 (812) 925–06–37;Санкт-Петербург, Средний проспект В.О., 13;gardenia.spb.ru;
Duty Free Flowers;+7 (812) 309–19–99, +7–931–371–78–01;Санкт-Петербург, Типанова, 5;dff24.ru;
Цветы Provance;+7 (812) 408–26–15;ТРК PiterLand,Санкт-Петербург, Приморский проспект, 72;;kormach.u@mail.ru
Цветочный джаз;+7–952–358–91–50;Санкт-Петербург, Парашютная, 35;;
GRANDBUKET;+7–921–870–79–19;Санкт-Петербург, Садовая, 60;www.grandbuket.com;
Цвет-сити;+7–911–932–89–52, +7 (812) 764–36–91, +7–904–551–23–76;Санкт-Петербург, Марата, 67;;
Магазин цветов;;Санкт-Петербург, Новаторов бульвар, 75 к2;;
Цветок;;Санкт-Петербург, Мастерская, 8/21;;
Адам;+7 (812) 577–17–56;Санкт-Петербург, Советская 8-я, 16 лит А;;
Бум Флауэрс, ООО;+7 (812) 407–29–94;Санкт-Петербург, Марата, 74;твоицветыспб.рф;
Цветочный рай плюс;+7–921–655–04–23, +7 (812) 308–00–08, +7 (812) 272–02–82;Санкт-Петербург, Чайковского, 58;;
Стрелец, ООО;+7–921–772–96–91;Санкт-Петербург, Московский проспект, 141Б;;
Flowers & wood;+7 (812) 903–70–06, +7–921–903–70–06;Санкт-Петербург, Суворовский проспект, 38;;
BookingFleur;+7 (812) 336–63–00, +7–999–041–33–00;Санкт-Петербург, Боровая, 21;bookingfleur.ru;
Цветник, ООО;+7 (812) 959–40–09;ТК Ока,Санкт-Петербург, Ижорского Батальона, 6/58;;
Цветы в большом городе;+7–969–730–96–89;Санкт-Петербург, Обуховской Обороны проспект, 110 к1 лит А;;
Стрелец, ООО;+7–921–772–96–91;Санкт-Петербург, Ленинский проспект, 127в;;
Цветочный бункер;+7 (812) 924–15–44, +7–921–859–15–44, +7 (812) 407–24–81;Санкт-Петербург, 12-я линия В.О., 27;www.flowerbunker.ru;
Кофе & Цветы;+7 (812) 271–18–60;Санкт-Петербург, Тверская, 16;www.coffee-flowers.ru;
Fiocco Rosa;+7–952–233–05–41, +7–952–398–00–06;ТРЦ Монпансье,Санкт-Петербург, Планерная, 59;;
Букетико;+7–911–814–35–85, +7–981–120–18–68;Санкт-Петербург, Ленинский проспект, 129а;;
De fleur;+7–951–684–38–83;Санкт-Петербург, Коллонтай, 10;;
JA`s LA FleuR;+7–911–174–64–64;ТРК Планета Нептун,Санкт-Петербург, Марата, 86 лит А;jaslafleur.spb.ru;
Ты и Я;+7–921–956–42–75, +7 (812) 408–07–81;Санкт-Петербург, Гороховая, 27;cocoflowers.ru;
Формула Букета;+7 (812) 401–02–22, +7 (812) 918–04–24;Санкт-Петербург, Нахимова, 5;www.formulabuketa.ru;
Цветочная Ярмарка;+7 (812) 408–53–96, +7 (812) 408–53–97;Санкт-Петербург, Выборгское шоссе, 17 к1;zvetyar.ru;
Floraison;+7–931–368–62–29;Санкт-Петербург, Полтавская, 2;;
Гелена, ООО;+7 (812) 931–90–35;Санкт-Петербург, Луначарского проспект, 76 к2;;
8 марта;+7–963–344–06–68;Санкт-Петербург, Уточкина, 6;8marta24.ru;
ЭкоФлора;+7 (812) 965–18–14;Санкт-Петербург, Пилотов, 32а;;
Цветы Голландии;+7 (812) 643–27–04;Санкт-Петербург, Космонавтов проспект, 39;www.shop.condorspb.ru;
Кондор;+7 (812) 677–75–81, +7 (812) 677–75–80;Санкт-Петербург, Штурманская, 8а;www.condorspb.ru;
Настроение;+7 (812) 7–029–222, +7 (812) 905–96–14;Санкт-Петербург, Владимирский проспект, 13;buket-podarki.ru;
Плантация;+7 (812) 309–80–69;Санкт-Петербург, Типанова, 5;plantaciya24.ru;
Fiesta;+7–960–230–83–77;Санкт-Петербург, Ординарная, 19;3listnik.ru;
Букетико;+7–911–814–35–85, +7–981–120–18–68;Санкт-Петербург, Московский проспект, 192;;
Ах! Цветы;+7 (812) 920–54–59;Санкт-Петербург, Богатырский проспект, 49 к1;ах-цветы.рф;
Fresh Flowers by Nastasiya;+7–921–900–96–61;Санкт-Петербург, Испытателей проспект, 7 к2;pitercvet.ru;
Delight;+7–951–650–32–35;Санкт-Петербург, Вилеровский переулок, 6;;
Цветочный блюз;+7–965–000–16–61;Санкт-Петербург, Медиков проспект, 10 к1;;
De fleur;;Санкт-Петербург, Якорная, 6;;
Автограф стиля;+7–911–980–15–11;Санкт-Петербург, Гагаринская, 28;style4flowers.com;
Канцелярская Крыса;+7 (812) 388–66–37;Санкт-Петербург, Московский проспект, 128;kantskrisa-piter.ru;
Цветоторг;+7–962–700–20–20;д. Янино 1, Шоссейная, 34Б;;
Оранж;+7–960–230–59–77;Санкт-Петербург, Одоевского, 29 к1;www.orangespb.ru;
ГорЦветТорг;+7–953–353–72–44, +7 (812) 950–42–88;Санкт-Петербург, Парашютная, 25 к1;;9504288@mail.ru
Пигмалион, ООО;+7 (812) 327–36–68;Санкт-Петербург, Жуковского, 14;;
Седьмой лепесток;+7 (812) 981–77–52, +7–952–271–91–21;Санкт-Петербург, Варшавская, 62;sevenlepestok.ru;
Цветы Северо-Запада;+7 (812) 385–00–98;Санкт-Петербург, Манчестерская, 3 к1;;
Цветовик;+7 (812) 777–92–04, +7 (812) 777–92–04;Санкт-Петербург, Выборгское шоссе, 17 к1;cvetovik.com;info@cvetovik.com
Цветомания;+7 (812) 244–00–44;Санкт-Петербург, Циолковского, 10;tsvetomania.ru;
Ах! Цветы;+7 (812) 987–89–13;Санкт-Петербург, Оптиков, 51 к1;ах-цветы.рф;
Плантация;+7 (812) 309–80–69;Центр деловых услуг Чернышевского-18,Санкт-Петербург, Чернышевского проспект, 18;plantaciya24.ru;
FlowerSpb;+7 (812) 992–06–39;Санкт-Петербург, Пулковская, 15;flowerspb.com;
Фламинго;8–800–200–23–57;Санкт-Петербург, Лиговский проспект, 50 к12 лит Н;www.flamingo.ru;
P.S.Flowers;+7–911–278–62–99, +7–961–809–96–78;Санкт-Петербург, Пулковская, 2 к1;ps-flowers.spb.ru;
Fresh Fleurs;+7 (812) 917–34–84, +7–921–917–34–84;Санкт-Петербург, Парашютная, 25 к2;;
ile de fleurs;+7 (812) 708–00–70;Санкт-Петербург, Набережная реки Фонтанки, 75;iledefleurs.ru;info@iledefleurs.ru
Atelier De Fleurs;+7 (812) 468–11–11, +7 (812) 907–94–77;Санкт-Петербург, Воскова, 25;;
ВераНика;+7–911–210–76–16, +7–921–922–84–79;Санкт-Петербург, Павловское шоссе, 97;Вераника.рф;
Магазин искусственных цветов;+7–901–312–33–09, +7 (812) 274–97–97;Санкт-Петербург, Тележная, 37 лит И;www.cveti1.ru;
ЦветОптРозница;+7–921–915–10–90;Сертолово, Молодцова, 3;;
AMF;+7 (812) 336–70–20;Санкт-Петербург, Мира, 15 к1;www.amf.ru;
Цветы от Mary Lav;+7–931–310–85–39;Санкт-Петербург, Звёздная, 9 к1;;
Flowers Mania;+7 (812) 947–60–80;Санкт-Петербург, Заневский проспект, 7/7;www.flowersmania.ru;
Пушкинская 20;+7–921–751–44–48;Санкт-Петербург, Пушкинская, 20;;
ГрандФлора;+7 (812) 511–61–23, +7 (812) 336–42–61;Санкт-Петербург, Луначарского проспект, 5;www.grandflora.spb.ru;
Tiara Flowers;+7 (812) 903–06–96;Санкт-Петербург, Малый проспект В.О., 48;;
Магазин цветов;;Санкт-Петербург, Моховая, 26;;
Opaz;+7 (812) 642–45–57, +7–964–342–45–57;Санкт-Петербург, Михаила Дудина, 15 лит А;www.opaz.ru;info@opaz.ru
Цветоптторг;+7 (812) 328–67–10;Санкт-Петербург, Кадетская линия В.О., 7;;
Flor del sol;+7–921–957–35–68, +7–921–943–69–80;Санкт-Петербург, Набережная канала Грибоедова, 96;www.flordelsol.ru;
Cvetclub;+7–921–950–03–58, +7 (812) 380–90–00;Санкт-Петербург, Лиговский проспект, 251;www.cvetclub.ru;
Миледи;+7 (812) 335–68–98;ТК ПИТЕР,Санкт-Петербург, Типанова, 21 лит А;;
Динос Парк, ЗАО;+7 (812) 434–94–75, +7 (812) 434–83–62;Санкт-Петербург, Приморское шоссе, 120а;www.dinos-park.ru;
Sale flowers;+7 (812) 425–01–16;Санкт-Петербург, Московский проспект, 65 к4;sale-flowers.org;
Makov.net;+7 (812) 702–72–35, +7 (812) 380–97–37;Санкт-Петербург, Малый проспект В.О., 27;www.makov.net;
Flores Del Mar;+7 (812) 647–01–35;Санкт-Петербург, Катерников, 5 к1;floresdelmar.ru;
Крокусы;+7–921–978–49–19, +7–921–318–28–75, +7 (812) 317–85–41;Санкт-Петербург, Красноармейская 7-я, 9;www.crocus-flower.ru;
City Flowers;+7 (812) 458–53–34, +7–905–262–36–85;Санкт-Петербург, Космонавтов проспект, 61 к1;cityflowershop.ru;
Ангажемент;+7–911–923–65–30, +7–981–728–95–60;ТРК Масштаб,Санкт-Петербург, Шереметьевская, 13 лит А;www.flowerdecor.ru;
ЦВЕТОДОМ;+7 (812) 323–99–53, +7–931–364–92–33;Санкт-Петербург, Малый проспект В.О., 33;tsvetodom.ru;
ПровансОлис;+7–921–560–45–86;МЦ Круиз,Санкт-Петербург, Комендантский проспект, 4 к2 лит А;provencolis.ru;
Flores Del Mar;+7 (812) 647–01–36;Санкт-Петербург, Адмирала Черокова, 18 к1;floresdelmar.ru;
ChocoRose.ru;+7–921–954–46–17, +7 (812) 954–46–17;Санкт-Петербург, Красносельское шоссе, 55а;chocorose.ru;
;;;;
Цветомания;+7 (812) 244–00–44, +7–931–200–77–49;ТРК Рио,Санкт-Петербург, Фучика, 2 лит А;tsvetomania.ru;
Nevabuket.ru;+7 (812) 717–94–23, +7 (812) 986–60–88, +7 (812) 309–46–09;Санкт-Петербург, Лиговский проспект, 50 к12 лит Н;www.nevabuket.ru;
Магазин цветов и подарков;+7–921–999–43–73;Санкт-Петербург, Гражданский проспект, 41а;;
Цветочная гостиная;+7–931–960–11–35;Санкт-Петербург, Вилеровский переулок, 6;cvetochnaya-gostinaya.ru;
Особые цветы;8–800–333–03–38;Санкт-Петербург, Обуховской Обороны проспект, 112 к2 лит И;specialgreen.ru;
Миледи;+7 (812) 757–29–60;Санкт-Петербург, Маршала Казакова, 1 к2;;
ВКУС И ЦВЕТ;+7 (812) 312–63–58;Санкт-Петербург, Набережная канала Грибоедова, 35;vkus-zvet.ru;
Цветочное Место JOY;+7 (812) 712–19–45, +7 (812) 987–48–41;Санкт-Петербург, Марата, 47;joyflowerplace.ru;
FlowerPiter;+7–911–245–30–94;Санкт-Петербург, Кузнецовская, 52 к15 лит А;www.flowerpiter.ru;
Vip-flor;+7 (812) 371–26–24, +7–921–848–88–21;Санкт-Петербург, Варшавская, 96;www.vip-flor.ru;
Вереск;;Санкт-Петербург, Моховая, 26;;
Цветомания;+7 (812) 244–00–44, +7–921–633–66–26;Санкт-Петербург, Лермонтовский проспект, 21;tsvetomania.ru;
Магазин необычных подарков и цветов;+7–909–581–84–64;Санкт-Петербург, Новоизмайловский проспект, 81 к2;;
Цветовик;+7 (812) 777–92–04, +7 (812) 777–92–04;Санкт-Петербург, Свечной переулок, 2;cvetovik.com;info@cvetovik.com
Алая роза;+7 (812) 305–37–38, +7–921–875–75–70;Санкт-Петербург, Гжатская, 22 к4;www.alaya-roza.ru;
Букет от ИРИС;+7–911–114–58–44;Санкт-Петербург, Звёздная, 9 к1;;
Цветовик;+7 (812) 777–92–04, +7 (812) 777–92–04;д. Кудрово, Европейский проспект, 5;cvetovik.com;info@cvetovik.com
Opaz;+7 (812) 642–45–57, +7–964–342–45–57;Санкт-Петербург, Ланское шоссе, 22 к1;www.opaz.ru;info@opaz.ru
Фаворит;+7 (812) 604–19–68;Санкт-Петербург, Пилотов, 32а;favorit-flowers.ru;
Киоск по продаже цветов;;Санкт-Петербург, Кантемировская, 27г киоск;;
Миледи-Аэро;;Пассажирский терминал Пулково,Санкт-Петербург, Пулковское шоссе, 41 лит Б;;
Fiora;+7 (812) 570–46–21;Санкт-Петербург, Декабристов, 13;;
ЦветОптРозница;+7–921–915–10–90;Санкт-Петербург, Светлановский проспект, 66;;
Laguna Rose;+7 (812) 903–54–22;Санкт-Петербург, Лиговский проспект, 9/31;lagunarose.ru;
Леруа Мерлен;+7 (812) 493–23–83;ТРК Сити Молл,Санкт-Петербург, Испытателей проспект, 5;spb.leroymerlin.ru;
ANTHEMIS;+7 (812) 948–89–00;ТОЦ Apriori,Санкт-Петербург, Большой проспект П.С., 58;redroseflowers.ru;
Это мне?!;+7–911–121–60–95, +7–952–357–02–65;ТРК Варшавский экспресс,Санкт-Петербург, Набережная Обводного канала, 118 лит С;;
Гранд Амор;;Санкт-Петербург, Королёва проспект, 21 к1;;
Это мне?!;+7–911–121–60–95, +7–981–831–41–31;ТРК Великан-парк,Санкт-Петербург, Александровский парк, 4 к3 лит А;;
Магазин необычных букетов;+7–921–905–90–24;Санкт-Петербург, Лермонтовский проспект, 37;anemoni.ru;
Opaz;+7 (812) 642–45–57, +7–964–342–45–57;Санкт-Петербург, Туристская, 24;www.opaz.ru;info@opaz.ru
ЦВЕТОПТТОРГ;+7 (812) 600–06–20, +7 (812) 601–01–01, 8–800–550–06–20, +7 (812) 312–95–18;Санкт-Петербург, Марата, 76;www.cvetopttorg.spb.ru;
Формула Букета;+7 (812) 401–02–22, +7–921–918–04–82;Санкт-Петербург, Литейный проспект, 18;www.formulabuketa.ru;
Amsterdam flowers;+7 (812) 985–96–95;Санкт-Петербург, Бакунина проспект, 4;www.amsterdamflowers.ru;
Цветочный домик GINZA;+7 (812) 946–30–49, +7 (812) 640–16–16;Санкт-Петербург, Суворовский проспект, 53;ginzaflower.ru;
NewFlora;+7 (812) 943–53–01;Санкт-Петербург, Литовская, 6;newflora.ru;
Киоск по продаже цветов;;Санкт-Петербург, Литейный проспект, 56Б киоск;;
Фантазия;8–800–775–92–90, +7 (812) 777–92–00, +7 (812) 777–92–00;Санкт-Петербург, Звёздная, 3 к1;www.eliteflower.ru;eliteflower@mail.ru
Акварель;+7 (812) 937–75–58, +7 (812) 305–00–84;Санкт-Петербург, 17-я линия В.О., 32/67;;
RozaFlowers;+7 (812) 906–82–38, +7–921–885–15–41;Санкт-Петербург, Комендантский проспект, 51 к1;;
Ангажемент;+7–911–923–65–30, +7–911–254–60–20;ТЦ ЮГО-ЗАПАД,Санкт-Петербург, Маршала Жукова проспект, 35 к1;www.flowerdecor.ru;
Магазин искусственных цветов;+7–901–312–33–09;Санкт-Петербург, Садовая, 28-30 к18;www.cveti1.ru;
5plusroses;+7 (812) 272–42–07, +7 (812) 273–38–88;Санкт-Петербург, Жуковского, 29;5plusroses.ru;
Duty Free;+7 (812) 309–08–08, +7 (812) 994–99–50;Санкт-Петербург, Маяковского, 10;dutyfreeflowers.ru;
Империя роз;+7–921–959–72–89;Санкт-Петербург, Невский проспект, 158;imperiyaroz.ru;
Цветомаркет;+7–921–583–58–25, +7 (812) 382–06–78;Санкт-Петербург, Тельмана, 41 к1;cvetomarket24.ru;
Подсолнух;;Санкт-Петербург, Ленсовета, 66/70;;
Сats;+7 (812) 627–65–35, +7–965–781–89–67;Санкт-Петербург, Пулковское шоссе, 18;marati.ru;
Цветоландия;+7–981–798–50–01;Санкт-Петербург, Садовая, 92;;
ГорЦветТорг;+7–911–993–45–34;Санкт-Петербург, Маршала Говорова, 5/4;;9504288@mail.ru
Ped Rose Spb;+7–921–589–64–30, +7–953–151–85–55;Санкт-Петербург, Садовая, 42;розаспб.рф;
Рассада.ру, ООО;+7 (812) 929–04–92, +7 (812) 448–90–78, +7–921–575–68–68;Гатчина, Киевское шоссе 44 км, 2;www.rassada.ru;
Lotis;+7–921–434–44–21;Санкт-Петербург, Есенина, 12 к1;;
ЦВЕТОПТТОРГ;+7 (812) 600–06–20, +7 (812) 601–01–01, 8–800–550–06–20, +7 (812) 950–42–88;Санкт-Петербург, Лиговский проспект, 95;www.cvetopttorg.spb.ru;
Магазин цветов;;Санкт-Петербург, Политехническая, 30 к1;;
BontiLand;+7 (812) 997–13–67;БЦ Квартал,Санкт-Петербург, Обуховской Обороны проспект, 86 лит М;www.bontiland.ru;
Магазин цветов;;Санкт-Петербург, Звёздная, 8а;;
Миллион алых роз;+7 (812) 604–19–48;Санкт-Петербург, Пилотов, 32а;;
ЛенЦветТорг;+7 (812) 948–23–10;ТК Стиль,Санкт-Петербург, Ветеранов проспект, 147 к3;;
Мистер Пион;+7 (812) 928–19–20, +7–931–351–30–09;Санкт-Петербург;mrpion.ru;
Las Flores;+7–911–911–87–28;Санкт-Петербург, Набережная Обводного канала, 209;;
Аалсмеер СПб;+7 (812) 577–18–15;Санкт-Петербург, Моисеенко, 14в;;
Магазин цветов и семян;+7 (812) 372–56–18;Санкт-Петербург, Обуховской Обороны проспект, 116 к1 лит Е;;
Цветы Опт Розница;+7 (812) 666–5–666;Санкт-Петербург, Московское шоссе, 12;6665666.ru;kate@artflora.net
Фантазия;8–800–775–92–90, +7 (812) 777–92–00, +7 (812) 777–92–99;Санкт-Петербург, Предпортовый 5-й проезд, 25;www.eliteflower.ru;eliteflower@mail.ru
ГрандФлора;+7 (812) 784–05–21, +7 (812) 784–22–80;Санкт-Петербург, Зайцева, 15 лит Б;www.grandflora.spb.ru;
Плантация;+7 (812) 309–80–69;д. Кудрово, Ленинградская, 3;plantaciya24.ru;
ЦВЕТОКТОРГ;+7 (812) 992–21–37;Санкт-Петербург, Симонова, 1;;
Цветы Коломбины;+7–950–025–63–48, +7–950–037–73–56;Санкт-Петербург, Массальского, 4;floart.ru;vkfloart@gmail.com
Цветочная поляна;+7–952–096–86–18;Санкт-Петербург, Гончарная, 2;цветынаполяне.рф;
ЛенЦветТорг;;Санкт-Петербург, Большевиков проспект, 17;lencvet.ru;
FlowerSpb;+7 (812) 992–06–38;Санкт-Петербург, Суворовский проспект, 27;flowerspb.com;
Hand Land;+7–964–335–94–58;Санкт-Петербург, Гороховая, 50;;
Миллион алых роз;+7 (812) 604–19–48;Санкт-Петербург, Пилотов, 34 к1;;
Ежевика Флауерс;+7–911–177–15–03;Санкт-Петербург, Чапаева, 17;ezhevikaflowers.ru;
BANT;+7–921–967–27–62;Санкт-Петербург, Фурштатская, 46;bant-buket.ru;
Настроение;+7 (812) 7–029–222, +7 (812) 932–56–60;Санкт-Петербург, Коллонтай, 31 к2;buket-podarki.ru;
ОптЦвет;+7 (812) 325–18–10;БЦ Мицар,Санкт-Петербург, Пулковское шоссе, 9 к3;www.optcvet.ru;
Las Flores;+7 (812) 251–02–10;Санкт-Петербург, Набережная Обводного канала, 209а;;
Цвет-сити;+7–911–932–89–52, +7–905–272–30–63;Санкт-Петербург, Мытнинская, 7;;
Магазин цветов;+7–911–004–50–72, +7 (812) 394–50–72;Санкт-Петербург, Испытателей проспект, 6 к1;flowerswholesale.ru;
Гифт Декор, ООО;+7 (812) 320–51–83, +7 (812) 335–04–68, +7 (812) 320–51–81;Санкт-Петербург, Магнитогорская, 51 лит В;www.alseedservice.ru;
Сеть салонов свадебного букета;+7 (812) 947–33–05, +7 (812) 953–23–79;Санкт-Петербург, Верности, 4;svabuk.spb.ru;
Арома-Гарден;+7 (812) 643–29–65, +7–952–356–15–77;Санкт-Петербург, Лиговский проспект, 50 к17;www.aroma-garden.ru;
Стрелец, ООО;+7–921–772–96–91;Санкт-Петербург, Стачек проспект, 73а;;
Leto;+7–931–245–24–05;Санкт-Петербург, Нахимова, 20;;
Цветы Provance;+7 (812) 408–26–15;ТРК Пик, Санкт-Петербург, Ефимова, 2;;kormach.u@mail.ru
Flowers Iris;+7–921–905–26–70;Санкт-Петербург, Приморское шоссе, 293;flowersiris.ru;flowersiris@bk.ru
Flores Del Mar;+7 (812) 647–01–37;Санкт-Петербург, Адмирала Трибуца, 7;floresdelmar.ru;
Flower Street;+7–965–003–22–88;БЦ Эриксонъ,Санкт-Петербург, Большой Сампсониевский проспект, 60 лит А;;
Надежда;+7 (812) 430–76–62, +7 (812) 904–27–53;Санкт-Петербург, Савушкина, 8 лит А;www.hopeflowers.ru;
Цветочная мастерская;+7 (81371) 4–15–00;ТЦ Рощинский,Гатчина, Рощинская, 9а к2;;
Malina Boom;+7–906–266–13–88, +7–906–266–13–68;Санкт-Петербург, Оптиков, 45 к1;;
Арт-букет;+7–921–310–96–90;ТК Владимирский Пассаж,Санкт-Петербург, Владимирский проспект, 19;www.a-r-t-buket.ru;
ВЕСЕЛЫЙ ЦВЕТОЧНИК;;Санкт-Петербург, Московский проспект, 168а;vescvet.ru;
Лаванда;+7–921–777–53–57;Санкт-Петербург, Котовского, 1/10;;
Семицветик;8–800–333–24–92, +7 (812) 426–75–17, +7 (812) 385–76–42, +7 (812) 922–77–39;Санкт-Петербург, Стремянная, 13;semicvetic.com;
Цветочная;+7–921–781–53–88;Санкт-Петербург, Садовая, 59;;
GIFTAWAY.RU;+7–981–792–85–70;Санкт-Петербург, Капитанская, 4;giftaway.ru;
Mary glow;+7–905–209–36–91, +7–905–279–91–86;Санкт-Петербург, Гагаринская, 19;maryglow;
Цветочная грядка;+7 (812) 993–55–73;Санкт-Петербург, Большая Зеленина, 27;www.spoluslova.ru;
Спутник;+7 (812) 764–83–10, +7 (812) 572–31–56;Санкт-Петербург, Боровая, 21;www.sputnikspb.com;
Florisa.ru;+7–921–422–29–43, +7 (812) 906–69–83, +7 (812) 328–31–40;Санкт-Петербург, Большой проспект В.О., 2/18;florisa.ru;
Магазин цветов;+7–921–907–87–16;Санкт-Петербург, Кирочная, 5 лит А;;
Цветоптторг;+7–911–796–69–01;Санкт-Петербург, Варшавская, 23 к3;;
