Правовой результат;+7–911–238–98–62;Санкт-Петербург, Большая Пороховская, 25;pravovojrezultat.ru;info@pravovojrezultat.ru
НОРД КАП, ООО;+7 (812) 495–55–58;ДЦ Громовъ,Санкт-Петербург, Громова, 4;nkuslugi.ru;
ДЖИКЕЙ ГРУПП, ООО;+7 (812) 337–59–05, +7 (812) 985–84–33;БЦ Baltis Plaza,Санкт-Петербург, Средний проспект В.О., 88 лит А;www.gkgroup.su;
1-й юридический консультационный центр;+7 (812) 652–00–00;Санкт-Петербург, Энгельса проспект, 28;1ukc.ru;
Санкт-Петербург;+7 (812) 275–10–71;Санкт-Петербург, Гагаринская, 6а;www.mka-spb.ru;
БАНКО;+7 (812) 702–07–03;БЦ Телеком СПБ,Санкт-Петербург, Гельсингфорсская, 2;www.bankoaudit.ru;
Скорая Кредитная Помощь;+7–981–190–07–53, +7–981–189–85–83;БЦ Мир, Санкт-Петербург, Ефимова, 4а;skprus.ru;
Онегин-Консалтинг;+7 (812) 642–33–68, +7 (812) 309–16–36;БЦ Гепард,Санкт-Петербург, Коли Томчака, 28 лит А;www.onegin-consulting.ru;
Прайм Эдвайс, ООО;+7 (812) 335–40–73, +7 (812) 312–01–59, +7 (812) 335–40–71;Дворец Белосельских-Белозерских,Санкт-Петербург, Невский проспект, 41;www.hlbprime.com;
Общество Содействия Автомобилистам, НП;+7 (812) 640–01–98, +7 (812) 400–54–00;Санкт-Петербург, Коломяжский проспект, 15 к8;www.osa-spb.ru;
Центр плюс;+7–905–205–47–00, +7 (812) 640–28–12;БЦ На Итальянской, 2,Санкт-Петербург, Набережная канала Грибоедова, 6/2;www.senterplus.spb.ru;
ЮрФинКредит, ООО;+7 (812) 509–60–81;Санкт-Петербург, Московский проспект, 22 лит М;;
Lexmans Group;+7 (812) 578–09–40;БЦ Казанский,Санкт-Петербург, Казанская, 7;www.lexmans.com;
Панорама;+7 (812) 649–00–22, +7 (812) 649–00–55, +7 (812) 315–00–55;Санкт-Петербург, Восстания, 7;www.anpanorama.ru;
Берега Невы, ООО;+7 (812) 244–74–75, +7 (812) 903–94–18;БЦ Атолл,Санкт-Петербург, Учительская, 23;bereganevy.ru;
АРИАН;+7 (812) 327–17–17;Санкт-Петербург, Невский проспект, 147;www.arian-spb.ru;
СПЕЦЭКСПЕРТИЗА, ООО;+7 (812) 715–12–11, +7 (812) 930–09–11;БЦ Офис-М,Санкт-Петербург, Невский проспект, 151;;
ЮрФинЭксперт, ООО;+7 (812) 334–10–90;Санкт-Петербург, Большая Разночинная, 23;www.ufe.su;
Адвокатская консультация №15;+7 (812) 764–96–26, +7 (812) 764–95–31;Санкт-Петербург, Загородный проспект, 22;www.ак15.рф;
Центральное адвокатское бюро Санкт-Петербурга;+7 (812) 309–89–23;МФК Преображенский двор,Санкт-Петербург, Литейный проспект, 26 лит А;advokat.spb.su;
Баранча и Партнеры;+7 (812) 430–88–61, +7 (812) 430–31–14;Санкт-Петербург, Савушкина, 52;www.bplaw.ru;
Белая Карта, ООО;+7 (812) 648–02–67;БЦ Таврический,Санкт-Петербург, Шпалерная, 51;wccg.ru;
Общество Содействия Автомобилистам, НП;+7 (812) 640–01–98, +7 (812) 400–54–00;Санкт-Петербург, Бухарестская, 24 к2;www.osa-spb.ru;
Успешный старт;+7 (812) 980–38–49;Санкт-Петербург, Звёздная, 5 к1;gutstart.ru;
Гарант-Строй, ООО;+7–950–028–65–55;Гатчина, Соборная, 11/1;garant-gatchina.ru;
Четыре Грифона;+7 (812) 951–58–27, +7 (812) 457–05–97;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14;www.jur-online.ru;
ЮСТИМ, ООО;+7 (812) 424–56–00, +7 (812) 244–54–24;БЦ Троицкий,Санкт-Петербург, Кронверкская, 5;useteam.ru;
Семейный юрист;+7 (812) 970–46–41;БЦ Офис-М,Санкт-Петербург, Невский проспект, 151;www.lawyer-family.ru;
Альтернат;+7–921–914–72–82, +7 (812) 934–32–31, +7 (812) 702–74–84;Санкт-Петербург, Боровая, 3;www.alt78.com;
Миграционный защитник;+7 (812) 334–03–00, +7 (812) 331–25–25, +7 (812) 611–02–01;Санкт-Петербург, Марата, 8;www.zashitnik.spb.ru;
Арсенал-Брокер, ООО;+7 (812) 608–96–54;БЦ Чёрная речка,Санкт-Петербург, Белоостровская, 22;www.arsenal-broker.ru;
Бассейная, 41, ООО;+7 (812) 610–56–56, +7 (812) 368–00–08;Санкт-Петербург, Бассейная, 41;center41.ru;
ТРАНС ЭКОЛОДЖИ СЕВЕРО-ЗАПАД, ООО;+7 (812) 640–30–10, +7 (812) 320–78–77, +7 (812) 327–78–77;Санкт-Петербург, 14-я линия В.О., 25-27;transecology.ru;
ЕмельяновДокин;+7–921–650–54–62;Санкт-Петербург, Большая Конюшенная, 9;;
Лантра;+7 (812) 640–98–40, +7–921–905–75–40;Санкт-Петербург, Московский проспект, 216;www.lantraperevod.ru;office@lantraperevod.ru
Вознесенский 45;+7 (812) 310–28–15;Санкт-Петербург, Садовая, 56;centrnasledstva.ru;
ФОРСАЙТ;+7 (812) 467–39–57;Санкт-Петербург, 18-я линия В.О., 45;forsite-spb.ru;
Деловой подход;+7 (812) 907–51–42, +7–911–926–26–42;Санкт-Петербург, Кантемировская, 39;delpod.ru;
Архипова и партнеры;+7 (812) 982–65–05;Санкт-Петербург, Кирочная, 31;www.ampartners.ru;
Коллегия Юристов;+7 (812) 646–10–50;БЦ ГАП,Санкт-Петербург, Смолячкова, 19 лит А;kollegia-uristov.ru;
Служба экономической безопасности;+7 (812) 454–44–05;БЦ Модуль,Санкт-Петербург, Выборгское шоссе, 36;s-e-b.ru;
БезопасноСделка, ООО;;БЦ Sinop,Санкт-Петербург, Синопская набережная, 22;;
Адвокаты Санкт-Петербурга;8–800–500–23–80;ТЦ Платформа,Санкт-Петербург, Заневский проспект, 65 к5;advokat-albus.ru;
Галактика;+7 (812) 970–41–43;Санкт-Петербург, Рылеева, 3;grkg.ru;
РОСЛЕКС, ООО;+7 (812) 457–06–50;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14/35;www.roslex.ru;
АфинА;+7 (812) 677–78–23;БЦ Лидер,Санкт-Петербург, Конституции площадь, 7;a-fin-a.ru;afina-finans@yandex.ru
Адвокат-Авто;+7 (812) 6–000–300;БЦ Русские самоцветы,Санкт-Петербург, Карла Фаберже площадь, 8 лит А;a-a.ru;
Пепеляев Групп, ООО;+7 (812) 640–60–10;БЦ Золотая Шпалерная,Санкт-Петербург, Шпалерная, 54;www.pgplaw.ru;
Юридическая консультация №47;+7 (812) 408–42–69;Санкт-Петербург, Бассейная, 41;;
Сергеев и Партнёры;+7 (812) 329–74–74;Санкт-Петербург, Шпалерная, 60;sergeev.ru;
Арбитр;+7 (812) 333–20–40;ТРК Заневский каскад 3,Санкт-Петербург, Заневский проспект, 71 к2 лит А;www.arbitr-spb.ru;
Альянс Консалт, ООО;+7 (812) 986–17–72, +7 (812) 579–42–04, +7 (812) 986–13–84;Санкт-Петербург, Некрасова, 34;www.allianceconsult.ru;
Фемида, ООО;+7 (812) 940–24–83, +7 (812) 441–36–72;БЦ Мир, Санкт-Петербург, Ефимова, 4а;;
Глинка, Рубинштейн и партнёры;+7–911–952–22–33;Санкт-Петербург, Просвещения проспект, 33 к1;gripmab.ru;
Адвокатский кабинет Станислава Дроботова;+7 (812) 987–08–97, +7–952–287–08–97;Санкт-Петербург, Московский проспект, 151;drobotov.net;stanislav@drobotov.net
ЛИГАЛ АРТ;+7 (812) 647–45–46;Санкт-Петербург, Союза Печатников, 5;rbm.legal;
Дювернуа Лигал, ООО;+7 (812) 702–62–00;Санкт-Петербург, Невский проспект, 140;www.duvernoix.ru;
Бизнес параллель, ООО;+7 (812) 702–77–62, +7 (812) 905–79–07;Отель Москва,Санкт-Петербург, Александра Невского площадь, 2 лит Е;www.skvocomp.ru;
Альта-Юр, ООО;+7 (812) 571–79–25, +7 (812) 944–12–66, +7 (812) 921–73–53;Санкт-Петербург, Разъезжая, 15;alta-jur.ru;
Наше дело;+7–953–360–06–18;ДЦ Обводный Двор,Санкт-Петербург, Набережная Обводного канала, 199;ооонашедело.рф;
На Богатырском;+7–905–206–25–45, +7–960–255–88–11;Санкт-Петербург, Богатырский проспект, 49 к1;bogatyr.spb.ru;
Юринформбюро, ООО;+7 (812) 316–78–07, +7 (812) 712–76–17;Санкт-Петербург, Подольская, 15;;
Альянс Бухгалтеров и Аудиторов;+7 (812) 725–58–12, +7 (812) 206–58–12;БЦ Прогресс Сити,Санкт-Петербург, Набережная Чёрной речки, 41 к7;aaa-spb.ru;
Романовский;+7 (812) 612–11–08, +7 (812) 612–11–09, +7–921–180–38–83;ТК Ямской,Санкт-Петербург, Боровая, 2;www.romed-spb.ru;
Адвокатский кабинет Свирина В.А.;+7 (81371) 4–22–70, +7–909–580–58–21;Гатчина, 25 Октября проспект, 23;;
БИЗНЕС ИНСАЙТ, ООО;+7 (812) 245–29–79, +7–921–886–80–90, +7 (812) 501–12–67;БЦ Ладога-центр,Санкт-Петербург, Стахановцев, 14 к1;b-inside.ru;glbuh@b-inside.ru
Бизнес-Недвижимость, ООО;+7 (812) 334–96–36;Санкт-Петербург, Кирочная, 19;;
Аллюр, ООО;+7 (812) 572–45–09, +7 (812) 943–43–46, +7 (812) 572–18–43;БЦ Лиговка,Санкт-Петербург, Лиговский проспект, 73;www.alljur.ru;
Развитие;+7 (812) 309–09–49, +7 (812) 309–09–50;БЦ Буревестник,Санкт-Петербург, Малоохтинский проспект, 68;ur-razvitie.ru;
R.B.Consulting;+7 (812) 932–70–92;Санкт-Петербург, Лиговский проспект, 87;www.spblawyer.com;
ЛЕГИСПРО, ООО;+7–911–920–21–90, +7 (812) 570–01–90;Санкт-Петербург, Малая Морская, 16;legispro.ru;
Юсланд;+7 (812) 425–35–55;БЦ Казанский,Санкт-Петербург, Казанская, 7;www.iusland.ru;
ЛЕЙНОНЕН;+7 (812) 640–60–51, +7 (812) 640–60–52, +7 (812) 640–60–54;МФК Преображенский двор,Санкт-Петербург, Литейный проспект, 26 лит А;www.leinonen.eu;
Адвокатская консультация №55;+7–921–905–95–76, +7 (812) 275–07–28;Санкт-Петербург, Соляной переулок, 5;www.kons55.ru;
НВК, ООО;+7 (812) 332–05–70, +7 (812) 332–05–80;БЦ Петровский Форт,Санкт-Петербург, Финляндский проспект, 4 лит А;www.nvk-audit.ru;main@nvk-audit.ru
ЛЕГАЛ БРИДЖ, ООО;+7–900–620–49–11;Санкт-Петербург, Правды, 6;legal812.com;
Адвокат-Lex;+7 (812) 493–39–02, +7 (812) 942–08–94;Санкт-Петербург, Королёва проспект, 29 к1;advokat-lex.ru;
ЛенЮр, ООО;+7 (812) 922–16–43, +7–911–923–25–98;Санкт-Петербург, Социалистическая, 8;lenyr.ru;
ИПА, ООО;+7 (812) 303–53–74;БЦ Командарм,Санкт-Петербург, Маршала Говорова, 29;ipa207.ru;
Арбитражная Сервисная Группа, ООО;+7 (812) 309–50–27;БЦ Петровский Форт,Санкт-Петербург, Финляндский проспект, 4а;arbitraj.pro;
Заневская;+7 (812) 528–93–81, +7 (812) 528–92–81, +7 (812) 528–26–47;Санкт-Петербург, Стахановцев, 2;www.ak46.ru;
ДОФИН;+7 (812) 645–09–62;Санкт-Петербург, Пролетарская, 60;www.dofinspb.ru;
АДЛЕКС;+7 (812) 404–60–72;Санкт-Петербург, Константина Заслонова, 10;www.adleks.ru;
Гуцу, Жуковский и Партнеры;+7 (812) 457–00–60;Санкт-Петербург, 13-я линия В.О., 6-8;gzh-p.ru;
Петербургский Правовой Центр, ООО;+7 (812) 927–90–99, +7 (812) 982–11–11;БЦ Большой 100,Санкт-Петербург, Большой проспект П.С., 100;www.legal-spb.ru;
Центр делового развития и бизнес услуг;+7 (812) 337–11–10, +7 (812) 981–95–15;Санкт-Петербург, Большая Подьяческая, 5;www.cb-spb.ru;info@cb-spb.ru
Адвокатская консультация №38;+7 (812) 649–02–54;Санкт-Петербург, Ветеранов проспект, 122;;
Нева-Юрист;+7 (812) 988–38–89, +7–931–240–30–52;Санкт-Петербург, Шпалерная, 38;neva-urist.ru;
Ладога;+7 (812) 441–35–79, +7 (812) 972–26–64;БЦ Мир, Санкт-Петербург, Ефимова, 4а;www.urladoga.ru;
EY;+7 (812) 703–78–00;БЦ Белые ночи,Санкт-Петербург, Малая Морская, 23;www.ey.com;
Адвокатская консультация №6;+7 (812) 542–22–87;Санкт-Петербург, Комсомола, 10;ak-6.ru;
Канатьевы и партнеры;+7 (812) 426–88–98;Санкт-Петербург, Маяковского, 52;;
Прайм Эдвайс, ООО;+7 (812) 718–35–34;Бизнес-мегаполис Гайот,Санкт-Петербург, Профессора Попова, 23;www.hlbprime.com;
Потребительский Альянс;+7 (812) 992–39–98;Санкт-Петербург, Александра Невского, 9;www.potreballiance.ru;
Кей Энд Кей, ООО;+7–950–039–31–11, +7 (812) 988–31–01, +7 (812) 981–75–99;Санкт-Петербург, Пушкинская, 10;www.lawkik.ru;
Юридическая консультация;+7–921–903–17–16;Санкт-Петербург, Комендантский проспект, 17 к1;www.alexlobanov.ru;
Пелевин и партнеры;+7–921–915–60–00;ТРЦ Международный,Санкт-Петербург, Бухарестская, 74 к3;www.ak-pelevin.ru;
Юрист Консалтинг;+7 (812) 401–00–00, +7–950–000–00–19;Санкт-Петербург, Богатырский проспект, 58 к2;juristconsulting.ru;
Пелевин и партнеры;+7–921–915–60–00;ТОК Ярус,Санкт-Петербург, Есенина, 5Б;www.ak-pelevin.ru;
Интеркомп, АО;8–800–700–13–79, 8–800–700–13–76, +7 (812) 740–18–60, +7 (812) 740–18–61;Санкт-Петербург, Измайловский проспект, 29;intercomp.ru;
Финансовая параллель, ООО;+7 (812) 313–93–65;БЦ Ростра,Санкт-Петербург, Заневский проспект, 30 к2;fin-parallel.ru;
VB Consult;+7 (812) 941–58–02;Санкт-Петербург, Шпалерная, 38;vb-consult.ru;
Общество Содействия Автомобилистам, НП;+7 (812) 640–01–98, +7 (812) 400–54–00;Санкт-Петербург, Дальневосточный проспект, 13;www.osa-spb.ru;
Правовой сервис;+7 (812) 945–40–42, +7 (812) 426–14–46, +7 (812) 578–19–46;Гостиница Октябрьская,Санкт-Петербург, Лиговский проспект, 10/118;www.advokatservice.ru;
Студия бухгалтерских услуг, ООО;+7 (812) 603–76–00;БЦ Обуховъ-центр,Санкт-Петербург, Обуховской Обороны проспект, 271 лит А;www.buh-galtera.net;info@buh-galtera.net
Феникс;+7 (812) 923–50–95;Санкт-Петербург, Всеволода Вишневского, 5;fenix-law.ru;
Невский, 88, ООО;+7 (812) 995–14–35, +7 (812) 611–01–41;Санкт-Петербург, Невский проспект, 88;www.nevski88.ru;
Современная защита, ООО;8–800–505–24–85, +7 (812) 984–64–08;Елисеевский магазин,Санкт-Петербург, Невский проспект, 56;kollektorov.net;
Гестион-Консалт;+7 (812) 612–00–71, 8–800–555–83–25, +7 (812) 677–26–64;Санкт-Петербург, Ленинский проспект, 153а к4;www.gestion.ru;
Адвокатский кабинет Горбенко В.С.;+7–921–953–09–07;Санкт-Петербург, Университетская набережная, 25;gorbenko.pro;
Беспалов, Стогов и партнеры;+7 (812) 309–93–01, +7–921–956–96–77;Санкт-Петербург, Невский проспект, 65;bp-pravo.ru;
Миремакс, ООО;+7 (812) 642–64–01, +7–981–161–85–00;БЦ Биржа,Санкт-Петербург, 26-я линия В.О., 15 к2а;www.miremaks.ru;
БАЛТИМПУЛЬС;+7 (812) 384–69–40, +7–968–182–71–90;Санкт-Петербург, Будапештская, 11 лит В;3846940.ru;
Lex & Juris;+7–952–213–23–78, +7–965–097–03–27, +7–921–411–31–81;БЦ Stels,Санкт-Петербург, Боровая, 32;lex-juris.ru;
Центр оценки и экспертизы, ООО;+7 (812) 642–73–52, +7 (812) 642–74–52;Санкт-Петербург, Гражданский проспект, 111;www.ekspertizaspb.ru;
Де-Юре;+7 (812) 715–33–38, +7 (812) 715–33–39;БЦ Лидваль,Санкт-Петербург, Большая Морская, 3;www.deurespb.ru;
Адвокатская консультация №11;+7–950–009–99–77, +7 (812) 230–71–60;Санкт-Петербург, Рыбацкая, 2;;
Вердикт, ООО;+7 (812) 315–33–47, +7 (812) 314–22–44;Санкт-Петербург, Московский проспект, 7;www.verdikt.ru;
Адвокат Жуков И.И.;+7–904–640–57–64;Санкт-Петербург, Невский проспект, 153;адвокатжуков.рф;
ОФИС119;+7 (812) 988–39–35;БЦ РОССТРО,Санкт-Петербург, Новочеркасский проспект, 58;;
ПРОСПЕКТ;+7–911–028–48–38, +7–921–639–05–48, +7 (81371) 9–57–87;Гатчина, 25 Октября проспект, 15;www.prospekt-gtn.ru;
ПОЙНТ, ООО;+7 (812) 336–61–08, +7 (812) 570–60–29;ТЦ Галерея бутиков,Санкт-Петербург, Невский проспект, 44;;
14-я адвокатская консультация Санкт-Петербурга;+7 (812) 645–02–98;Санкт-Петербург, Коллонтай, 23 к1;;
Легион;+7 (812) 612–37–79, +7 (812) 413–93–60;БЦ На Сенной,Санкт-Петербург, Спасский переулок, 14;centerleg.ru;
Гильдия юристов, ООО;+7–981–876–68–13, +7 (812) 994–20–30;ТЦ Балканский 3,Санкт-Петербург, Балканская площадь, 5 лит Я;www.gildia-advokat.ru;
Омега, ООО;+7 (812) 450–00–45, +7 (812) 922–62–40;Санкт-Петербург, Непокорённых проспект, 13 к1;www.omegacompany.ru;
Вероника;+7 (812) 603–21–97, +7 (812) 996–67–99;БЦ Казанский,Санкт-Петербург, Казанская, 7;uk-veronika.ru;
Вправе;+7 (812) 416–60–73, +7 (812) 644–55–75;Санкт-Петербург, Маяковского, 27;vprave.com;
СБО КСИ, ООО;+7 (812) 326–12–45;Санкт-Петербург, Стачек проспект, 37;www.zaoksi.ru;
Правовед.ru;8–800–333–28–41;ТОЦ Автомася,Санкт-Петербург, Цветочная, 16 лит П;pravoved.ru;
Kind Help;+7 (812) 325–20–71, +7 (812) 325–60–61;Санкт-Петербург, Невский проспект, 53;www.kind-help.com;kind-h@yandex.ru
ЮРКОН, ООО;+7 (812) 920–77–99, +7 (812) 337–16–44, +7 (812) 904–22–44;Санкт-Петербург, Красноармейская 8-я, 15/17;www.jurkonspb.ru;
Центр делового развития и бизнес услуг;+7 (812) 337–11–10;Санкт-Петербург, Средний проспект В.О., 5/27;www.cb-spb.ru;info@cb-spb.ru
Центральное юридическое бюро, ООО;+7 (812) 906–51–66;Санкт-Петербург, 2-я линия В.О., 37;ur-yslygi.ru;
ДА КОНСТАНТА, ООО;+7 (812) 718–41–38;Санкт-Петербург;constantadolg.ru;
Альянс юристов;+7 (812) 679–10–10, +7 (812) 679–30–30;БЦ Финляндский,Санкт-Петербург, Комсомола, 41;vozvratavto.ru;
РПН;+7 (812) 642–97–92, +7 (812) 985–46–11;ДЦ Владимирский,Санкт-Петербург, Щербаков переулок, 12;rpn-consalt.ru;
АДВЕКОН;+7 (812) 939–31–93, +7 (812) 300–07–77, +7 (812) 980–13–43;БЦ Долина Роз,Санкт-Петербург, Аккуратова, 13;www.adveconspb.ru;
Объединенная Консалтинговая Группа, АО;+7 (812) 740–62–90;БЦ Финляндский,Санкт-Петербург, Комсомола, 41;www.okgru.com;
Курбалов и партнеры;+7 (812) 913–07–04, +7 (812) 425–34–24, +7–981–984–15–16;БЦ Невский 30,Санкт-Петербург, Невский проспект, 30;kurbalov.ru;
Биг 5, ЗАО;+7 (812) 777–90–91;Санкт-Петербург, Ординарная, 21;;
Решетов и Партнеры;+7 (812) 929–06–29;Санкт-Петербург, Просвещения проспект, 15;rplaw.ru;
Фабрика Документов;+7 (812) 452–52–52;Центр деловых услуг Чернышевского-18,Санкт-Петербург, Чернышевского проспект, 18;fabrikadok.ru;
АРИАН;+7 (812) 327–17–17;Санкт-Петербург, Ленинский проспект, 161 к2;www.arian-spb.ru;
33-я адвокатская консультация;+7 (812) 905–95–16;Санкт-Петербург, Новочеркасский проспект, 16/12;;
АРЕС;8–800–555–79–11, +7 (812) 677–79–11;Санкт-Петербург, Косая линия, 5;www.ares.ru;
Абсолют, ООО;+7 (812) 921–76–35, +7–911–826–11–58;Санкт-Петербург, Энгельса проспект, 111 к1;absolut-urist.ru;
Ампаро, ООО;+7–958–858–00–99, +7–911–173–55–80;Санкт-Петербург, Правды, 8а;www.amparo.su;
Адвокатская консультация №62;+7 (812) 407–49–05, +7–921–346–97–58;Санкт-Петербург, Московский проспект, 2;;
Бизнес Ассистент;+7 (812) 924–24–55, +7 (812) 644–50–44;БЦ Tempo,Санкт-Петербург, Невский проспект, 104;ba-spb.ru;
Городское учреждение судебной экспертизы, ООО;+7 (812) 702–71–08, +7 (812) 959–00–02;Санкт-Петербург, Рылеева, 18;www.goexpert.ru;
М16-КОНСАЛТИНГ;+7 (812) 610–16–16, +7 (812) 622–22–62;Санкт-Петербург, Малый проспект П.С., 16;m16-consulting.ru;info@m16-consulting.ru
Группа ЮСТ, ООО;+7 (812) 325–69–68;БЦ Невский 30,Санкт-Петербург, Невский проспект, 30;;
Бафра;+7 (812) 493–39–89;Санкт-Петербург, Большая Разночинная, 32 лит Л;bafra.spb.ru;
Адвокатский кабинет Сучкова А.А.;+7–904–600–41–02;Санкт-Петербург, Новосмоленская набережная, 1;;
Dc Trust Co;8–800–222–57–10;БЦ Ильич,Санкт-Петербург, Белоостровская, 8;www.dctrustco.ru;
ДеЛАй Пайпер;+7 (812) 448–72–00;Дом Книги,Санкт-Петербург, Невский проспект, 28;www.dlapiper.com;
Эксперт-Финанс;+7 (812) 929–85–95, +7 (812) 928–85–95;Санкт-Петербург, Средний проспект В.О., 28;fl.expert-finance78.ru;
РИМ, ООО;+7 (812) 323–20–66, +7 (812) 323–20–60;Санкт-Петербург, Средний проспект В.О., 11;www.rim-law.ru;
Проверки.НЕТ;+7 (812) 983–32–98;Санкт-Петербург, Шпалерная, 38;proverky.net;
Единый Центр Поддержки Строителей, АО;+7 (812) 645–15–62, 8–800–770–02–22;Санкт-Петербург, Чайковского, 44;ecps.info;
Мудрый дольщик;+7 (812) 903–76–33;БЦ Портал,Санкт-Петербург, Бумажная, 16 к1 лит А;мудрый-дольщик.рф;
В законе;+7–981–728–83–83, +7–953–141–82–21;Отрадное, Ленинградское шоссе, 6Б;vzakone.spb.ru;
Единый центр сертификации и лицензирования, ООО;8–800–333–20–35, +7 (812) 956–32–60, +7 (812) 426–15–80;БЦ Биржа,Санкт-Петербург, 26-я линия В.О., 15 к2 лит А;uccl.ru;
Домаполис, ООО;+7 (812) 389–39–81, +7–921–903–91–71;Санкт-Петербург, Московское шоссе, 16 к1;domapolis.ru;
АМ Групп, ООО;+7 (812) 309–82–83;Санкт-Петербург, Лиговский проспект, 50 к9;group.am;
Лантра;+7 (812) 640–20–25, +7–921–630–60–95;Санкт-Петербург, Ленинский проспект, 128;www.lantraperevod.ru;office@lantraperevod.ru
Центр градостроительных проектов;+7 (812) 245–36–69;БЦ Меридиан,Санкт-Петербург, Ленинский проспект, 160;grad.center;
PlusMinus Consulting;+7 (812) 313–20–92;Санкт-Петербург, 18-я линия В.О., 29 лит А;www.plusminusconsulting.com;karelina.66@mail.ru
Юнис Гарант, ООО;+7–921–949–58–38;Санкт-Петербург, Ленсовета, 88;;
Юридическое бюро Носова;+7 (812) 380–84–68, +7 (812) 380–85–15;БЦ Новотроицкий,Санкт-Петербург, Обуховской Обороны проспект, 120 лит Б;www.jurburonosov.spb.ru;
Правовой гид, ООО;+7 (812) 326–39–37, +7 (812) 904–69–30, +7–962–716–11–03;БЦ РОССТРО,Санкт-Петербург, Бабушкина, 3;www.lawsguide.ru;
Альфа;+7 (812) 992–51–39, +7 (812) 992–51–38;Санкт-Петербург, Каменноостровский проспект, 37;;
Орианна;+7 (812) 309–79–70, +7 (812) 970–77–90;Санкт-Петербург, Ленинский проспект, 124;www.orianna.ru;
Юридическая консультация №53;+7 (812) 627–61–96;Санкт-Петербург, Маршала Жукова проспект, 41а;;
Юридическая консультация №37;+7 (812) 627–60–92;Санкт-Петербург, Карпинского, 33 к1;;
Тадис, ООО;+7 (812) 272–49–11;Санкт-Петербург, Литейный проспект, 41;;
Городская Юридическая Служба, ООО;+7 (812) 414–97–09, +7–911–144–27–08;Санкт-Петербург, Косыгина проспект, 23 к1;jurist-piter.ru;
Адвокат-Авто;+7 (812) 6–000–300;ТРК Румба,Санкт-Петербург, Васи Алексеева, 6;a-a.ru;
