Спецоснащение, ООО;+7 (812) 935–76–71, +7 (812) 986–68–79;Санкт-Петербург, Петербургское шоссе, 3;www.houzz.ru;
БауМастер;+7 (812) 313–20–03;Санкт-Петербург, Выборгское шоссе, 212 ст5а;baumaster.spb.ru;
Парадный Петербург;+7 (812) 438–08–01;БЦ Авиатор,Санкт-Петербург, Мебельная, 12 к1;парадныйпетербург.рф;
Атмосфера дома;+7 (812) 410–00–30, +7–921–915–02–95;Санкт-Петербург, Итальянская, 21;atmosferadoma.ru;
Новоселье78;+7 (812) 715–91–17, +7 (812) 670–96–77;Санкт-Петербург, Юрия Гагарина проспект, 77;www.novosel78.ru;
СМК-Уровень, ООО;+7 (812) 329–54–78;БЦ 24-я линия В.О.,Санкт-Петербург, 24-я линия В.О., 3-7;www.smk-yroven.ru;
СОДРУЖЕСТВО, ЗАО;+7 (812) 380–86–50, +7 (812) 380–86–51;Санкт-Петербург, Коломяжский проспект, 33 к1;sodruzhestvo.spb.ru;
Атико;+7–981–854–09–88, +7 (812) 944–18–02;БЦ 76,Санкт-Петербург, Обуховской Обороны проспект, 76 к4 лит А;atiko-dom.ru;
СК Крона, ООО;+7 (812) 326–00–50;БЦ Шаумяна 10,Санкт-Петербург, Шаумяна проспект, 10 к1;sk-krona.com;
Северо-Западный Экспертный центр, ООО;+7 (812) 245–33–36;Санкт-Петербург, Большая Разночинная, 14 лит А;nw-expert.ru;
АЙСБЕРГ, ООО;+7 (812) 313–27–41;Санкт-Петербург, Маршала Говорова, 37;icebergstroy.ru;
Оконный Петербург, ООО;+7 (812) 337–60–34;Санкт-Петербург, Белоостровская, 17;www.okonny-spb.ru;
Отделочник СПб, ООО;+7–965–003–02–03;БЦ H2O, Санкт-Петербург, Химиков, 28;отделкадомовспб.рф;
Северная пирамида;+7 (812) 275–15–32, +7 (812) 275–15–31;Санкт-Петербург, Басков переулок, 33;www.piramida.d-c.spb.ru;
Еком, ООО;+7 (812) 984–61–91, +7 (812) 365–48–00;Санкт-Петербург, Бехтерева, 3 к2;ekom-sk.ru;
Мегастрой;+7 (812) 407–22–47;ТОЦ М46,Санкт-Петербург, Московское шоссе, 46;www.megasspb.ru;
Ленстройресурс, ООО;+7 (812) 900–90–54, +7–931–336–54–54;БЦ Норд-хаус,Санкт-Петербург, Коломяжский проспект, 18;lenresurs.ru;
МОНТАНА, ООО;+7–921–093–89–24, +7–921–992–01–85;Санкт-Петербург, Матроса Железняка, 57 лит А;montana78.ru;
Альплайн;+7 (812) 954–57–45;Санкт-Петербург, Кантемировская, 39;alpline.spb.ru;
Bleek;+7–900–638–87–33, +7 (812) 981–09–91;Санкт-Петербург, Муринский 2-й проспект, 49;bleek-3d.ru;
Студия дизайна интерьеров Елены Багаевой;+7 (812) 318–57–17, +7 (812) 318–55–25;Бизнес-мегаполис Гайот,Санкт-Петербург, Профессора Попова, 23;elenabagaeva.ru;
Profile city;+7 (812) 703–30–50;ТЦ Василеостровский,Санкт-Петербург, Железноводская, 3;www.profilecity.ru;
Гротеск, ООО;+7 (812) 380–79–80, +7 (812) 952–58–96;ДЦ Маяк,Санкт-Петербург, Московский проспект, 91;tdgrotesk.ru;
Окна Вашего Дома;+7 (812) 438–12–25, +7 (812) 748–28–00;Санкт-Петербург, Ударников проспект, 27 к1;okna812.ru;
1-я ремонтно-строительная компания, ООО;+7 (812) 987–80–58;Санкт-Петербург, Сикейроса, 11 к1;www.1remco.ru;
Комфорт Ремонт;+7 (812) 309–98–48;БЦ на Кушелевке,Санкт-Петербург, Кушелевская дорога, 12;spb2.komfremont.ru;
Пятый Элемент, ООО;+7 (812) 425–38–60;Санкт-Петербург, Маршала Казакова, 35 к5г;5element-potolki.ru;unona@5element-potolki.ru
Дом Строительных Идей;+7 (812) 950–52–51;Технопарк Литовская 10,Санкт-Петербург, Литовская, 10;www.dsi-remont.ru;
Пятый Фасад;+7 (812) 649–07–27;Санкт-Петербург, Люботинский проспект, 2-4 лит Б;spb-k.ru;
МаксиСервис;+7 (812) 387–88–12, +7 (812) 7–770–777;БЦ Инвэко,Санкт-Петербург, Юрия Гагарина проспект, 1;www.777-0-777.ru;
ГАЛАКТИКА;+7–901–301–93–53, +7 (812) 708–40–66;Санкт-Петербург, Гастелло, 10;galaktikastroy.ru;
ГОРОД, ООО;+7 (812) 226–18–19, +7 (812) 226–02–77;Санкт-Петербург, Екатерининский проспект, 3 к2;www.gorod812.com;
СПЕКТР, ООО;+7 (812) 984–25–75;БЦ KROL,Санкт-Петербург, Белы Куна, 34;spectrumspb.ru;
Алкопон Северо-Запад, ООО;+7–911–020–03–06, +7 (812) 459–98–40;БЦ Панорама,Санкт-Петербург, Минеральная, 13;www.alcopon.spb.ru;
Лентехпроект, ЗАО;+7 (812) 325–21–35;Санкт-Петербург, Звенигородская, 22;;
М-Град;+7 (812) 603–03–52, +7 (812) 426–16–13, 8–800–500–30–91, +7–951–661–22–22;Санкт-Петербург, Коммуны, 67;www.ooo-mgrad.ru;
Ленремонт;+7 (812) 344–44–44, +7 (812) 242–99–45;Санкт-Петербург, Олеко Дундича, 36 к1;www.lenremont.ru;client@lenremont.ru
Ютта;+7 (812) 333–27–77, +7 (812) 320–03–31;Санкт-Петербург, Стачек проспект, 67 к4;www.remont-otdelka.ru;
Ассоциация IDA;+7 (812) 943–12–96, +7–963–303–00–29;ТРК Гранд Каньон,Санкт-Петербург, Энгельса проспект, 154;www.idaspb.com;
EKO-Ruf;+7–921–322–45–93;Санкт-Петербург, Рыбацкий проспект, 27 лит А;;
СМУ-98;+7 (812) 432–44–34, +7 (812) 432–44–94, +7 (812) 432–44–44;Санкт-Петербург, Авиаконструкторов проспект, 2;www.smu-98.ru;
Альфа-Сити, ООО;+7 (812) 640–65–77;БЦ Кондратьевский,Санкт-Петербург, Кондратьевский проспект, 15 к3;;
КСК, ООО;+7 (812) 493–59–10;БЦ Софийская 14,Санкт-Петербург, Софийская, 14;www.kskstroi.ru;
АВТОГРУЗ, ООО;+7–909–590–51–18, +7–965–765–05–66;Санкт-Петербург, Салова, 27;;
Альп Групп;+7 (812) 389–43–10;Технопарк Литовская 10,Санкт-Петербург, Литовская, 10;mojkafasadov.ru;
Комфорт-ремонт, ООО;+7 (812) 426–71–09;Санкт-Петербург, Свердловская набережная, 62;komfort-remontspb.ru;
Ренессанс Паркет, ООО;+7 (812) 949–91–28, +7 (812) 323–20–92;Санкт-Петербург, Обуховской Обороны проспект, 17;www.r-parket.spb.ru;reneissance@list.ru
Мир Скрытого Крепежа, ООО;+7 (812) 748–94–80;Руби Роз Индастриал Компани,Санкт-Петербург, Моисеенко, 43;decktie.ru;
БалтСтрой 98, ООО;+7 (812) 309–18–78;Санкт-Петербург, Полевая Сабировская, 49 лит А;bs98.ru;
Арт Этаж;+7 (812) 959–34–66;Санкт-Петербург, Невский проспект, 102;www.art-etagschool.ru;
ДомМаркет;+7 (812) 492–64–21;Санкт-Петербург, Ланское шоссе, 12 к1;;
Ассоциация IDA;+7 (812) 943–12–96, +7–963–303–00–29;Санкт-Петербург, Вознесенский проспект, 22;www.idaspb.com;
ЭнергоСтройМонтаж, ООО;+7 (812) 923–34–04;Санкт-Петербург;www.esm-sk.ru;
Теплая Линия, ООО;+7 (812) 612–26–05, +7 (812) 490–63–90;БЦ Авиатор,Санкт-Петербург, Мебельная, 12 к1;warmline.ru;
СТК;+7 (812) 646–70–15, +7–921–941–14–61, +7–921–945–68–01;Санкт-Петербург, Жерновская 6-я, 7 лит А;nw-stk.ru;
Отделка.ру;+7–981–189–67–14, +7–952–099–25–00, +7 (812) 414–75–77;Санкт-Петербург, Салова, 33;otdelkaru.ru;
;;;;
Балтик Тайл;+7 (812) 332–05–40;БЦ Петровский Форт,Санкт-Петербург, Финляндский проспект, 4 лит А;baltictile.ru;
Сибалюкс, ООО;+7 (812) 644–51–89, +7–965–000–98–95;Санкт-Петербург, Садовая, 104 лит А;www.sibalux.ru;
ФС-ТРЕЙДИНГ, ООО;+7 (812) 600–49–11;БЦ Троицкий,Санкт-Петербург, Кронверкская, 5;www.fs-trading.ru;
Ленремонт;+7 (812) 344–44–44, +7 (812) 335–09–49;Санкт-Петербург, Просвещения проспект, 20;www.lenremont.ru;client@lenremont.ru
Grand Renova;+7 (812) 993–42–40;Санкт-Петербург, Апраксин переулок, 3;grandrenova.com;
СеверСтройТрест, ООО;+7–952–381–07–79;БЦ Авиатор,Санкт-Петербург, Заставская, 23;ssstroyremont.ru;
ПСК СЕВЗАПСТАЛЬКОНСТРУКЦИЯ, ООО;+7 (812) 374–26–43, +7 (812) 374–26–44;Санкт-Петербург, Свеаборгская, 12;psk-szsk.ru;
АЛЮР, ООО;+7 (812) 230–00–54, +7 (812) 230–02–11;Санкт-Петербург, Красносельская, 16;;
Умный ремонт, ООО;+7 (812) 982–70–30;Санкт-Петербург, Исполкомская, 9-11;www.ymremont.ru;
SUNTAN WOOD;+7 (812) 455–22–22;Санкт-Петербург, Мастерская, 9;www.suntanwood.ru;
Прогресс СПб;+7 (812) 703–57–68, +7 (812) 703–57–67;Санкт-Петербург, Трефолева, 1 лит А;progress.spb.ru;
СЗИ-Комплекс;+7 (812) 407–17–95;Санкт-Петербург, Моховая, 20;szi-spb.ru;
СевЗапЭнергоСтройМонтаж, ЗАО;+7 (812) 633–35–20;БЦ Обуховъ-центр,Санкт-Петербург, Обуховской Обороны проспект, 271;www.szesm.com;
Самсон, ООО;+7–952–231–22–29;БЦ Маркусъ,Санкт-Петербург, Набережная реки Смоленки, 14;sam-son.ru;
Авоцет;+7 (812) 454–50–01, +7 (812) 454–50–05;БЦ Софийская 14,Санкт-Петербург, Софийская, 14;avocet.ru;
;;;;
Деревянные конструкции;+7 (812) 715–00–19;Санкт-Петербург, Университетская набережная, 5;woodwoodwood.ru;
Север Стройснаб;+7 (812) 466–23–10;Санкт-Петербург, Оранжерейная, 67;www.sevssnab.com;
Дом 21, ООО;+7–905–259–63–27;Санкт-Петербург, Оскаленко, 16;www.dom21spb.ru;
СМП-58;+7 (812) 960–34–45;Санкт-Петербург, Никитинская 2-я, 60;remontstory.ru;
СУ-28, ООО;+7 (812) 944–66–10, +7 (812) 496–82–22;Санкт-Петербург, Савушкина, 135 к4;su28.okis.ru;
ИнтекСтрой;+7 (812) 987–47–07, +7 (812) 313–46–17;Санкт-Петербург, Московский проспект, 79а;intek-stroy.ru;
Интовтех;+7 (812) 415–22–49, +7 (812) 415–21–99, +7 (812) 415–22–30;Санкт-Петербург, Предпортовая, 8;www.intovteh.ru;
Альп Строй Технологии, ООО;+7–911–725–71–27;Санкт-Петербург, Науки проспект, 39;alp-stroj-tehnologii.ru;
ГлобалСтрой, ООО;+7 (812) 318–45–20;БЦ Циолковский,Санкт-Петербург, Набережная Обводного канала, 193;globalstroy.su;
Акцент;+7–921–958–08–31, +7 (812) 958–08–31;Санкт-Петербург, Типанова, 38;натяжные-потолки.онлайн;
Ле Квартир;+7 (812) 243–15–76;БЦ Сенатор,Санкт-Петербург, Кропоткина, 1;lekvartir.ru;
АЛЬТ-Икс;+7 (812) 384–64–00, +7 (812) 241–70–91;ТЦ Василеостровский,Санкт-Петербург, Железноводская, 3;alt-x.ru;
Северный Бастион;+7 (812) 906–96–14;БЦ 76,Санкт-Петербург, Обуховской Обороны проспект, 76 лит А;строительство-домов-спб.рф;
Петермаркет, ООО;+7 (812) 786–70–33;ДЦ Бумажная 9,Санкт-Петербург, Бумажная, 9;petermarket.ru;
Муж на час;+7 (812) 915–11–76;Санкт-Петербург, Малая Митрофаньевская, 14;bytrem-piter.ru;
Дабл-Ю, ООО;+7 (812) 407–29–19;Санкт-Петербург, Невский проспект, 72;sk-w.ru;
Алкон-Трейд-Нева;+7 (812) 320–81–01;Санкт-Петербург, Сестрорецкая, 8;www.alcontrade.spb.ru;
Апельсин Групп, ООО;+7 (812) 385–43–55, +7 (812) 385–75–40;ТЦ Благодатный,Санкт-Петербург, Юрия Гагарина проспект, 2а;apelsingroup.ru;
НСК-Фасады, ООО;+7 (812) 406–98–60;Санкт-Петербург, Стачек проспект, 59 лит В;nsc-fasad.ru;
Клининг ВСПБ;+7 (812) 701–07–17;Санкт-Петербург, Типанова, 15;клинингвспб.рф;
НЭНСИ, ООО;+7 (812) 622–18–98, 8–800–555–95–56, +7 (812) 622–18–90, +7 (812) 622–18–95, +7 (812) 622–18–97;Санкт-Петербург, Окраинная, 10;nensy.ru;
ТАДИЗ;8–800–350–47–84, +7 (812) 926–09–88;Санкт-Петербург, Набережная Обводного канала, 118а лит Х;tadiz.ru;
Строительные технологии комфорта, ООО;+7 (812) 458–85–61;Деловой центр Леон,Санкт-Петербург, Революции шоссе, 3 к1;gktk.ru;
Скай;+7 (812) 777–20–25, +7 (812) 777–06–66;Санкт-Петербург, Циолковского, 9;www.sky-potolki.ru;
СЗРК, ООО;+7 (812) 703–85–08, +7 (812) 309–49–13;Санкт-Петербург, Набережная Обводного канала, 148 к2 лит Б;save-resource.ru;
СМУ-1703;+7–950–013–86–82;Санкт-Петербург, Автовская, 17;smu-1703.pulscen.ru;
Стройинвест, ЗАО;+7 (812) 295–77–43, +7 (812) 295–68–01;Санкт-Петербург, Сердобольская, 60;;
Normann;+7 (812) 648–00–11;Отель Москва,Санкт-Петербург, Александра Невского площадь, 2;www.normann.ru;
Фирма МКС, ООО;+7 (812) 296–50–69, +7 (812) 296–50–70, +7 (812) 296–50–71;Санкт-Петербург, Шостаковича, 3 к1;www.mks-firma.ru;
Балтсервис;+7 (812) 244–58–21;БЦ Мир, Санкт-Петербург, Ефимова, 4а;baltservice.net;
;;;;
ПетроградСтрой, ООО;8–800–555–28–10, +7–981–774–35–55;БЦ Сенатор,Санкт-Петербург, 7-я линия В.О., 76;petrograd-stroy.ru;
КУБ;+7 (812) 666–60–03, +7–911–928–57–87;Санкт-Петербург, Русановская, 11 лит А;www.kub78.ru;spb.kub@mail.ru
GDC;+7 (812) 702–92–86, +7 (812) 988–50–40;БЦ Собрание,Санкт-Петербург, Новорощинская, 4;;
Альта, ООО;+7 (812) 715–45–72;Санкт-Петербург, Галерная, 20;всестройальта.рф;
La-roof;+7 (812) 383–99–83;Санкт-Петербург, Звенигородская, 22;la-roof.ru;
АСКОН, ЗАО;+7 (812) 705–08–55;Санкт-Петербург, Фучика, 4а;www.askonspb.ru;
Петроград, ООО;+7 (812) 337–66–72, +7 (812) 545–25–15;БЦ Инфосервис,Санкт-Петербург, Лабораторный проспект, 23;www.skpetrograd.ru;
Премьер-Декор;+7 (812) 346–50–22, +7–981–812–09–25;ТЦ Загородный дом,Санкт-Петербург, Ленинский проспект, 140;www.premier-decor.ru;
ДомМаркет;+7 (812) 595–21–05, +7 (812) 593–98–91, +7 (812) 985–44–81;Сертолово, Восточно-Выборгское шоссе, 25 к1;;
ТандемСнаб, ООО;+7 (812) 244–08–38, +7 (812) 409–90–91, 8–800–350–03–06;БЦ Форум,Санкт-Петербург, Балтийская, 51;tandemsnab.ru;
ИНВЕСТСТРОЙПРОЕКТ, ООО;+7 (812) 425–32–03;БЦ Радуга,Санкт-Петербург, Кантемировская, 12 лит А;www.investstroiproekt.ru;
Ferum Crash Group;+7 (812) 331–45–50, +7–964–333–77–20;Санкт-Петербург, Обуховской Обороны проспект, 120;demontazhspb13.ru;
ТЕХНОРЕСУРС, ООО;+7 (812) 984–54–00;БЦ Ильич,Санкт-Петербург, Белоостровская, 8;techno-res.ru;
Зори Невские;+7 (812) 600–50–40, +7 (812) 449–05–32;ТРК Невский,Санкт-Петербург, Большевиков проспект, 18 к1;www.n-zori.ru;
Невские Мастера, ООО;+7 (812) 903–66–29, +7–900–649–00–37;БЦ Формула,Санкт-Петербург, Софийская, 17;nevmastera.ru;
УНР СТИ;+7 (812) 097–11–78, +7 (812) 612–42–15;Санкт-Петербург, Гельсингфорсская, 3 к11 лит Д;unr-sti.ru;
Ирви-Еврострой, ООО;+7 (812) 313–71–98, +7 (812) 313–71–99;БЦ Лахта,Санкт-Петербург, Оптиков, 4 к2;;
Премьер-Декор;+7 (812) 332–41–95;ТК Ланской,Санкт-Петербург, Студенческая, 10;www.premier-decor.ru;
Квадрострой, ООО;+7–911–978–65–51, +7 (812) 640–28–46;ТК Академ-Парк,Санкт-Петербург, Гражданский проспект, 41 лит Б;kvadrostroy.ru;
;;;;
СтройИдеал;+7 (812) 703–72–32, +7 (812) 703–72–33;БЦ Буревестник,Санкт-Петербург, Малоохтинский проспект, 68;stroyideal.spb.ru;
Интекс;+7 (812) 933–52–20;БЦ Империал,Санкт-Петербург, Стачек проспект, 48 к2;www.sk-inteks.ru;
Балт-Строй;+7 (812) 375–55–59, +7–921–876–08–73;БЦ Люботнинский, 5,Санкт-Петербург, Люботинский проспект, 5;mobylstroy.ru;
Бригады Миллера, ООО;+7 (812) 500–51–72;ТОЦ Б5,Санкт-Петербург, Бакунина проспект, 5;бригады-миллера.рф;
ПИБ;+7 (812) 913–83–83;Санкт-Петербург, Энгельса проспект, 27;www.pibspb.ru;
Ютта;+7 (812) 333–27–77, +7 (812) 441–31–35;Санкт-Петербург, Лиговский проспект, 113 лит Б;www.remont-otdelka.ru;
Алден, ООО;+7 (812) 655–60–16, +7–911–940–05–05, +7–921–398–70–01;Санкт-Петербург, Лиговский проспект, 246;aldstroi.ru;
АЛВИ;+7 (812) 981–84–86, +7–904–600–72–80;БЦ Покровский остров,Санкт-Петербург, Набережная канала Грибоедова, 126;окнадвериспб.рф;
Единый Подрядчик;+7 (812) 928–58–48, +7 (812) 922–26–70, +7 (812) 313–26–22;Санкт-Петербург, Большая Конюшенная, 27;aepgroup.ru;
АБСтрой;+7–921–893–60–38, +7 (812) 905–07–70;Санкт-Петербург, Октябрьская набережная, 31;www.abstroy.com;
FORMAT;+7 (812) 716–50–35;Санкт-Петербург, 26-я линия В.О., 5 к4;www.form-at.ru;
Галерея услуг, ООО;+7 (812) 337–57–07;Санкт-Петербург, Среднерогатская, 9 лит А;3375707.ru;
БАЛТИЙСКАЯ МОНТАЖНАЯ КОМПАНИЯ, ООО;+7 (812) 981–01–23, +7–953–145–63–33, +7 (812) 244–54–80, +7 (812) 784–74–78;Санкт-Петербург, Автовская, 17;bm-k.ru;
МАССИВ;+7 (812) 702–58–34;Санкт-Петербург, Лиговский проспект, 50 к12 лит Н;gkmassiv.ru;
Новые Строительные Технологии, ООО;+7 (812) 927–97–79, +7 (812) 439–09–05;Санкт-Петербург, Гидростроителей, 8 лит А;nst-kron.com;
Профит-Строй, ООО;+7 (812) 622–06–99;Санкт-Петербург, Набережная Обводного канала, 134-138 к71;;
ГАЛИОН;+7 (812) 244–09–78;Санкт-Петербург, Уманский переулок, 76Б;www.galleon.ru;
Строительный подряд Прометей Плюс, ООО;+7 (812) 679–47–96, 8–800–350–47–96;БЦ 7-я верста,Санкт-Петербург, Обуховской Обороны проспект, 86 лит К;spprometeiplus.ru;
Вима, ЗАО;+7–905–222–57–11, +7 (812) 982–57–11;Санкт-Петербург, Химический переулок, 16;vima-org.ru;
Строй Инновация, ООО;+7 (812) 988–59–79, +7 (812) 988–59–55, +7 (812) 366–14–02;Санкт-Петербург, Будапештская, 72 к1;uokna.spb.ru;
МВК;+7–981–884–07–54;Санкт-Петербург, Циолковского, 10;;
Профстрой;+7 (812) 425–66–90;ТОЦ Стройдом,Санкт-Петербург, Комендантский проспект, 4а;bsremont.ru;
УСМР-288 СПб, ООО;+7 (812) 309–04–80, +7 (812) 309–14–90, +7 (812) 309–14–99;Санкт-Петербург, Глинки, 17;usmr-288spb.ru;
СМУ-31, ООО;+7 (812) 596–28–00, +7 (812) 596–27–26;Санкт-Петербург, Верности, 7 к2;;
Крист-Ал, ООО;+7 (812) 594–45–43, +7 (812) 594–45–01, +7 (812) 594–44–55;Санкт-Петербург, Просвещения проспект, 53 к1 лит А;;
СпецРНУ-2, ОАО;+7 (812) 316–65–56;Санкт-Петербург, Набережная Обводного канала, 141;;
РусьСтройСтав, ООО;+7–951–663–85–59, +7 (812) 965–83–84;Санкт-Петербург, Ломоносова, 1;stroy812.ru;
А-Проект;+7 (812) 643–11–93;БЦ Антарес,Санкт-Петербург, Савушкина, 83 к3;a-proekt.org;
Гарден, ООО;+7 (812) 643–57–31;БЦ Авиатор,Санкт-Петербург, Мебельная, 12 к1;gardn.ru;
РСО ПромАльп, ООО;+7 (812) 951–85–07, +7 (812) 677–16–44;БЦ Ленинград,Санкт-Петербург, Малый проспект В.О., 58;rsopromalp.ru;
Строительно-монтажная компания кровельных и фасадных работ;+7 (812) 441–34–86;Санкт-Петербург, Магнитогорская, 51 лит Е;www.kfs-11.ru;
СТИВ, ООО;+7 (812) 444–24–84, +7–921–956–00–91;БЦ Грант+,Санкт-Петербург, Октябрьская набережная, 6;www.stiv-spb.ru;
Строй-в-месте;+7 (812) 954–45–34;БЦ Маркусъ,Санкт-Петербург, Набережная реки Смоленки, 14;svm-spb.ru;
Булат, ООО;+7 (812) 922–11–62;БЦ Невский 80,Санкт-Петербург, Невский проспект, 80;www.skbulat.ru;
Ремпрофстрой, ООО;+7 (812) 931–99–94;Санкт-Петербург, Большой проспект П.С., 32;remprofstroy.ru;
Норд, ООО;+7 (812) 424–32–55;БЦ Биржа,Санкт-Петербург, 26-я линия В.О., 15 лит А к2;sk-nord.com;
Альянс-Строй;+7–921–188–80–85, +7 (812) 980–81–93;ТЦ Василеостровский,Санкт-Петербург, Железноводская, 3;www.gk-alians.ru;
Алюмстрой;+7 (812) 603–21–11;БЦ Re-forma,Санкт-Петербург, Левашовский проспект, 15;www.alumstroy.ru;
YaMaster;+7–953–369–40–20, +7 (812) 989–55–49;ДЦ Балтийский,Санкт-Петербург, Гаккелевская, 21 лит А;yamaster.org;
;;;;
